Campo,Petróleo (bbl/d) Pré Sal,Petróleo (bbl/d) Pós Sal,Gás natural (Mm³/d) Pré Sal,Gás natural (Mm³/d) Pós Sal,Produção (boe/d) Pré Sal,Produção (boe/d) Pós Sal,mes
Total Geral,1423413.571866449,1173314.2188278313,57552.24834066665,51195.128822666695,1785406.2790020613,1495321.8520479263,2018-04-01
Lula,871917.988401058,0,37386.2799609677,0,1107070.58596235,0,2018-05-01
Sapinhoá,250224.530671649,0,10348.3039629032,0,315313.396420557,0,2018-05-01
Jubarte³,120002.081607319,67118.9344203787,3889.00572709677,551.723148387097,144463.18871967,70589.1681963353,2018-05-01
Mero,39918.0537666152,0,2697.53942322581,0,56885.0642062151,0,2018-05-01
Lapa,38728.4560970097,0,1121.63476967742,0,45783.3256876744,0,2018-05-01
Baleia Franca³,33609.9803699535,1398.52951443935,1310.79795354839,20.7343261290323,41854.6504461617,1528.944486269,2018-05-01
Baleia Azul³,31701.9034054564,0,1054.36707193548,0,38333.671958187,0,2018-05-01
Búzios,31289.2015802484,0,953.310064516129,0,37285.3407571426,0,2018-05-01
Sururu,16250.4200720419,0,489.628222903226,0,19330.0885647409,0,2018-05-01
Marlim Leste,15791.1434211664,47144.4235567239,402.487216129032,751.713456774194,18322.711538047,51872.5583742768,2018-05-01
Caratinga,6635.03291136728,13497.3000143857,129.643250645161,248.025699677419,7450.46432570772,15057.3345404737,2018-05-01
Voador,2554.41537895531,0,78.1413364516129,0,3045.90953838203,0,2018-05-01
Marlim,2017.65440854598,116578.578171568,61.7214448387097,1616.60552290323,2405.87056950694,126746.71975558,2018-05-01
Barracuda,1358.98264449691,57901.1497102146,26.5534280645161,1021.73262225806,1525.99866187139,64327.6537750196,2018-05-01
Pirambu³,979.822138063873,0,36.5278477419355,0,1209.57536006958,0,2018-05-01
Pampo,14.2979555125807,8194.43069361239,0.447087096774194,104.150540967742,17.110048404742,8849.5178076967,2018-05-01
Outros Campos,0,832628.563579575,0,47591.3153909678,0,1131968.89503884,2018-05-01
Total Geral,1462993.964829459,1144461.9096608977,59986.38876774186,51906.000708064574,1840296.9527646876,1470940.791974491,2018-05-01
Lula,835366.694712273,0,35742.017784,0,1060177.19559025,0,2018-06-01
Sapinhoá,247676.29510609,0,9690.56386766667,0,308628.100626578,0,2018-06-01
Jubarte³,110123.685019569,66172.291415569,3639.61506833333,551.198032,133016.172272523,69639.2223092229,2018-06-01
Mero,40975.2165458126,0,2763.796704,0,58358.9726925988,0,2018-06-01
Lapa,39235.5370623267,0,1246.895911,0,47078.2754322936,0,2018-06-01
Búzios,32587.5664114967,0,958.564433333333,0,38616.754569921,0,2018-06-01
Baleia Azul³,29282.0584512583,0,968.612397666667,0,35374.4463962261,0,2018-06-01
Baleia Franca³,26709.570609249,1556.54557051,935.604881666667,14.7784776666667,32594.3475500048,1649.49938712258,2018-06-01
Marlim Leste,17446.395081455,46813.4508801483,371.421444333333,691.575884333333,19782.5653962372,51163.331793187,2018-06-01
Sururu,16109.0986596233,0,482.816829,0,19145.9247788358,0,2018-06-01
Caratinga,7304.09089366555,13118.708050236,99.684402,170.130831,7931.08684220917,14188.7986523681,2018-06-01
Voador,733.78613531947,0,21.4243553333333,0,868.541259738623,0,2018-06-01
Marlim,579.595170930197,135113.044566518,16.9224406666667,1837.82310466667,686.034107459803,146672.602708482,2018-06-01
Barracuda,466.21856768078,60074.0374030043,6.36282533333333,751.396951,506.239530090633,64800.1814593736,2018-06-01
Pirambu³,197.292889590667,0,7.5601886666666704,0,244.845039868153,0,2018-06-01
