Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
FPSO CIDADE DE PARATY,114862.493287593,6,Lula,2018-04-01,3920.622429,139522.463447742
FPSO CIDADE DE ANGRA DOS REIS,96890.60449837,6,Lula,2018-04-01,4367.72771433333,124362.781953261
PETROBRAS 52,88863.2177130433,16,Roncador,2018-04-01,1750.13889433333,99871.2588320101
PETROBRAS 40,68103.5362729833,15,Marlim/Marlim Sul,2018-04-01,1323.091106,76425.5279424132
PETROBRAS 57,61119.93297414,16,Jubarte³,2018-04-01,487.742731333333,64187.7420831077
FPSO CIDADE DE SÃO PAULO,53898.9459560867,5,Sapinhoá,2018-04-01,2271.54126566667,68186.5089242895
PETROBRAS 43,52541.3470758766,19,Barracuda/Caratinga,2018-04-01,641.266766,56574.7931933311
PEREGRINO A,47874.41078944,15,Peregrino,2018-04-01,87.421,48424.27226945
PETROBRAS 54,47203.0343734367,12,Roncador,2018-04-01,555.845611333333,50699.1976580572
PETROBRAS 55,46795.7670793333,10,Roncador,2018-04-01,778.168956333333,51690.3019625683
PETROBRAS 56,45461.82207793,10,Marlim Sul,2018-04-01,1371.93105533333,54091.0077490762
FPSO CIDADE DE ANCHIETA,44303.61017472,5,Baleia Azul³/Jubarte³/Pirambu³,2018-04-01,1594.228516,54331.004636942
PETROBRAS 53,44169.6770571833,15,Marlim Leste,2018-04-01,702.052772333334,48585.4556051333
FPSO ESPIRITO SANTO,40845.5782153741,18,Argonauta/Ostra,2018-04-01,375.326397,43206.3099404886
FPSO CAPIXABA,40618.23438104,4,Cachalote³/Jubarte³,2018-04-01,843.177282333333,45921.659283233
PETROBRAS 51,39629.9521779967,12,Marlim Sul,2018-04-01,610.064849333333,43467.144167982
FPSO CIDADE DE CARAGUATATUBA,39554.9629665733,2,Lapa,2018-04-01,1114.935576,46567.6959018539
FPSO PIONEIRO DE LIBRA,36085.0088128448,1,Mero,2018-04-01,2352.15684,50879.6284266452
PETROBRAS 62,34138.2918111533,13,Roncador,2018-04-01,2053.58004466667,47054.9201118982
FPSO CIDADE DE ITAJAÍ,33947.35624219,6,Baúna,2018-04-01,269.304074333333,35641.2277019725
PETROBRAS 19,28969.555950539,10,Marlim/Marlim Sul,2018-04-01,394.013839333333,31447.8281373162
FPSO CIDADE DE NITEROI,28035.2283666567,5,Marlim Leste,2018-04-01,526.105110333333,31344.3295506824
PETROBRAS 20,25144.2172081357,9,Marlim/Marlim Sul/Voador,2018-04-01,357.224644666667,27391.0923504065
FPSO CIDADE DE MARICÁ,149172.489877981,7,Lula,2018-05-01,5404.79142290323,183167.601017672
PETROBRAS 58,145231.948260632,12,Baleia Anã³ / Baleia Azul³ /                                  Baleia Franca³ / Jubarte³,2018-05-01,4436.71707516129,173138.055687152
FPSO CIDADE DE ILHA BELA,142866.916802532,6,Sapinhoá,2018-05-01,5656.34175,178444.2317051
PETROBRAS 66 (P-66),138432.556115171,6,Lula,2018-05-01,5627.22313741935,173826.720477143
FPSO CIDADE DE ITAGUAÍ,129739.434061823,6,Lula,2018-05-01,6198.3584383871,168725.930951174
FPSO CIDADE DE MANGARATIBA,124129.842665671,6,Lula,2018-05-01,6952.41144225806,167859.1896793
FPSO CIDADE DE SAQUAREMA,120744.549243355,7,Lula,2018-05-01,4693.08595451613,150263.16821093
FPSO CIDADE DE PARATY,118537.355494777,5,Lula,2018-05-01,4040.68573903226,143952.501063
FPSO CIDADE DE SÃO PAULO,107357.613869116,6,Sapinhoá,2018-05-01,4691.96221290323,136869.164715457
FPSO CIDADE DE ANGRA DOS REIS,91161.7609422806,6,Lula,2018-05-01,4469.72382645161,119275.474563134
PETROBRAS 52,84275.3340581871,16,Roncador,2018-05-01,1610.50099516129,94405.0793225625
PETROBRAS 40,66408.440932029,15,Marlim/Marlim Sul,2018-05-01,1286.82739032258,74502.3407199539
PETROBRAS 57,60060.3812045161,16,Jubarte³,2018-05-01,488.519542258064,63133.0763066063
PETROBRAS 43,50752.852249629,18,Barracuda/Caratinga,2018-05-01,785.411863870968,55692.9436451233
PEREGRINO A,48765.2621447742,16,Peregrino,2018-05-01,89.0290322580645,49325.2378421613
PETROBRAS 54,46497.8201322806,12,Roncador,2018-05-01,471.387364516129,49462.7570914878
PETROBRAS 56,45393.6399288387,10,Marlim Sul,2018-05-01,1131.88498774194,52512.9814435878
FPSO CIDADE DE ANCHIETA,43039.2686842032,5,Baleia Azul³/Jubarte³/Pirambu³,2018-05-01,1530.75546483871,52667.4297145004
PETROBRAS 55,42279.0193495032,10,Roncador,2018-05-01,692.890793548387,46637.1707916718
FPSO PIONEIRO DE LIBRA,39918.0537666152,1,Mero,2018-05-01,2697.53942322581,56885.0642062151
PETROBRAS 51,39156.0982499387,11,Marlim Sul,2018-05-01,593.25156516129,42887.5378770058
FPSO CIDADE DE CARAGUATATUBA,38728.4560970097,2,Lapa,2018-05-01,1121.63476967742,45783.3256876744
FPSO ESPIRITO SANTO,36077.7445283979,17,Argonauta/Ostra,2018-05-01,345.552932580645,38251.206819273
PETROBRAS 53,34975.5050194548,15,Marlim Leste,2018-05-01,695.297693548387,39348.7954053124
PETROBRAS 62,34669.0025781548,13,Roncador,2018-05-01,2269.61861741935,48944.4724541853
PETROBRAS 74 (P-74),31289.2015802484,1,Búzios,2018-05-01,953.310064516129,37285.3407571426
FPSO CIDADE DE ITAJAÍ,30925.4963604548,6,Baúna,2018-05-01,244.534716129032,32463.5732633104
PETROBRAS 48,28639.6130308355,11,Barracuda/Caratinga,2018-05-01,640.543136774193,32668.5076579492
PETROBRAS 50,28255.6886791196,15,Albacora/Albacora Leste,2018-05-01,499.141668387096,31395.1949363575
PETROBRAS 19,27994.0638597071,9,Marlim/Marlim Sul,2018-05-01,381.753911612903,30395.2234305091
FPSO CIDADE DE MARICÁ,148534.73114378,8,Lula,2018-06-01,5248.997076,181549.925442376
FPSO CIDADE DE SAQUAREMA,147271.59263015,7,Lula,2018-06-01,5677.70300033333,182983.265738677
PETROBRAS 66 (P-66),134927.511338427,6,Lula,2018-06-01,5598.540079,170141.264712722
FPSO CIDADE DE ITAGUAÍ,130495.597995847,6,Lula,2018-06-01,6294.15692566667,170084.649168474
FPSO CIDADE DE ILHA BELA,128338.381860147,6,Sapinhoá,2018-06-01,4959.97978433333,159535.712307444
FPSO CIDADE DE MANGARATIBA,124699.53388764,7,Lula,2018-06-01,6822.948056,167614.580799749
PETROBRAS 58,122464.79584369,12,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-06-01,3662.099153,145498.703717221
FPSO CIDADE DE SÃO PAULO,119337.913245943,6,Sapinhoá,2018-06-01,4730.5840833333305,149092.388319134
PETROBRAS 52,81702.53739327,16,Roncador,2018-06-01,1595.84124766667,91740.0756312563
FPSO CIDADE DE ANGRA DOS REIS,77290.80176117,6,Lula,2018-06-01,3453.864231,99014.9515399561
FPSO CIDADE DE PARATY,72146.92595526,6,Lula,2018-06-01,2645.808416,88788.558188301
PETROBRAS 40,67765.87201634,15,Marlim/Marlim Sul,2018-06-01,1224.01383633333,75464.6864842478
PETROBRAS 57,59953.4269081433,16,Jubarte³,2018-06-01,493.326890333333,63056.3593162308
PETROBRAS 43,51307.2611946367,18,Barracuda/Caratinga,2018-06-01,568.031102666666,54880.0689045005
PEREGRINO A,50989.3343617733,17,Peregrino,2018-06-01,92.438,51570.7518185533
PETROBRAS 54,47257.16028509,12,Roncador,2018-06-01,644.129879333333,51308.6148414196
PETROBRAS 56,44753.1407988167,10,Marlim Sul,2018-06-01,1241.448187,52561.6140198911
PETROBRAS 55,44197.7925078833,11,Roncador,2018-06-01,725.471656666666,48760.8713887019
FPSO PIONEIRO DE LIBRA,40975.2165458126,1,Mero,2018-06-01,2763.796704,58358.9726925988
FPSO CIDADE DE ANCHIETA,40458.73737906,5,Baleia Azul³/Jubarte³/Pirambu³,2018-06-01,1447.93024733333,49565.9435280397
PETROBRAS 53,40036.9028849967,15,Marlim Leste,2018-06-01,630.292580333333,44001.3234597031
FPSO CIDADE DE CARAGUATATUBA,39235.5370623267,2,Lapa,2018-06-01,1246.895911,47078.2754322936
PETROBRAS 50,38354.5688236971,14,Albacora/Albacora Leste,2018-06-01,623.531994333333,42276.4665969749
PETROBRAS 51,37335.0080727267,12,Marlim Sul,2018-06-01,529.77342,40667.1822275769
FPSO CAPIXABA,36677.86968996,4,Cachalote³/Jubarte³,2018-06-01,777.158047333333,41566.0461476577
PETROBRAS 74 (P-74),32587.5664114967,1,Búzios,2018-06-01,958.564433333333,38616.754569921
PETROBRAS 62,32011.27724647,13,Roncador,2018-06-01,2048.34920633333,44895.0045679575
FPSO CIDADE DE ITAJAÍ,31582.62669497,6,Baúna,2018-06-01,252.160474333333,33168.6681680365
FPSO ESPIRITO SANTO,31452.6287530311,19,Argonauta/Ostra,2018-06-01,294.43773,33304.5861315624
PETROBRAS 19,30467.0808792537,10,Marlim/Marlim Sul,2018-06-01,388.446971333333,32910.3385240158
FPSO CIDADE DE MARICÁ,150911.719733587,8,Lula,2018-07-01,5089.45133064516,182923.401607592
FPSO CIDADE DE SAQUAREMA,146360.96509769,7,Lula,2018-07-01,5666.87841096774,182004.553595779
PETROBRAS 58,145468.108307452,13,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-07-01,4361.09646,172898.576432524
PETROBRAS 66 (P-66),143543.493403494,6,Lula,2018-07-01,5952.21235774194,180981.778213342
FPSO CIDADE DE ILHA BELA,135729.400703239,7,Sapinhoá,2018-07-01,5193.03200774193,168392.585355854
FPSO CIDADE DE ITAGUAÍ,130343.724514116,6,Lula,2018-07-01,6235.08957129032,169561.253250514
FPSO CIDADE DE PARATY,119945.637866865,6,Lula,2018-07-01,4408.66288967742,147675.289796986
FPSO CIDADE DE MANGARATIBA,111335.504784039,6,Lula,2018-07-01,6044.14840451613,149352.049860248
FPSO CIDADE DE SÃO PAULO,110340.651623252,6,Sapinhoá,2018-07-01,4608.8320883871,139329.32978111
PETROBRAS 52,77197.3479670871,16,Roncador,2018-07-01,1494.78250774193,86599.2459321074
FPSO CIDADE DE ANGRA DOS REIS,76276.5745653032,6,Lula,2018-07-01,3402.08461096774,97675.0403722142
PETROBRAS 40,67141.0008999322,15,Marlim/Marlim Sul,2018-07-01,1367.74399903226,75743.8507824853
PETROBRAS 57,59979.2609162548,16,Jubarte³,2018-07-01,480.409895806452,63000.9478829972
PEREGRINO A,54439.0501823451,17,Peregrino,2018-07-01,91.6477419354838,55015.4970660484
PETROBRAS 43,52320.6665219968,18,Barracuda/Caratinga,2018-07-01,593.063778064516,56050.9250039047
PETROBRAS 56,45287.9143096516,10,Marlim Sul,2018-07-01,1273.01731096774,53294.9513223496
PETROBRAS 54,45137.2043751387,12,Roncador,2018-07-01,573.094812258064,48741.8618562276
PETROBRAS 53,42465.1754068226,15,Marlim Leste,2018-07-01,738.685004838709,47111.3637371071
PETROBRAS 51,40705.8343909839,12,Marlim Sul,2018-07-01,636.524783870968,44709.4543418233
FPSO CIDADE DE ANCHIETA,38846.4793092323,5,Baleia Azul³/Jubarte³/Pirambu³,2018-07-01,1407.52482,47699.5429973165
FPSO PIONEIRO DE LIBRA,38846.038833838,1,Mero,2018-07-01,2575.92493612903,55048.1172563517
FPSO CIDADE DE CARAGUATATUBA,38691.137234,2,Lapa,2018-07-01,1289.91917870968,46804.4837834399
PETROBRAS 50,36063.7510382398,14,Albacora/Albacora Leste,2018-07-01,587.107728064516,39756.5470972972
FPSO CAPIXABA,33555.4688185516,4,Cachalote/Jubarte,2018-07-01,707.333081290323,38004.4595065823
PETROBRAS 19,31144.5069359635,10,Marlim/Marlim Sul,2018-07-01,393.361972580645,33618.679004721
FPSO CIDADE DE ITAJAÍ,31066.0391214484,6,Baúna,2018-07-01,242.913683548387,32593.9200373679
PETROBRAS 62,30428.4776032258,13,Roncador,2018-07-01,2021.20417129032,43141.4678118494
FPSO CIDADE DE NITEROI,29920.1797963871,6,Marlim Leste,2018-07-01,470.494913548387,32879.5034085729
PETROBRAS 74 (P-74),29859.1118282,1,Búzios,2018-07-01,861.870290322581,35280.1121989739
PETROBRAS 48,25160.1510079645,11,Barracuda/Caratinga,2018-07-01,580.971175483871,28814.3493172347
PETROBRAS 58,143367.037856371,13,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-08-01,4533.93874903226,171884.651139422
FPSO CIDADE DE ILHA BELA,141157.598036932,8,Sapinhoá,2018-08-01,5614.53839,176471.977747738
PETROBRAS 66 (P-66),140464.369671239,7,Lula,2018-08-01,5438.13231935484,174669.18871484
FPSO CIDADE DE SAQUAREMA,138944.181434397,7,Lula,2018-08-01,5502.17016903226,173551.786385278
FPSO CIDADE DE MARICÁ,126805.270160358,7,Lula,2018-08-01,4237.07563032258,153455.670830717
FPSO CIDADE DE ITAGUAÍ,126417.777284939,5,Lula,2018-08-01,5911.67576935484,163601.094655784
FPSO CIDADE DE MANGARATIBA,120288.262078303,5,Lula,2018-08-01,6159.25392806451,159028.799027583
FPSO CIDADE DE PARATY,117414.589917271,6,Lula,2018-08-01,4300.55665129032,144464.274148123
FPSO CIDADE DE SÃO PAULO,114205.175814323,6,Sapinhoá,2018-08-01,4611.00237612903,143207.504669723
PETROBRAS 52,81770.3157771387,16,Roncador,2018-08-01,1581.69443032258,91718.873221926
PETROBRAS 40,64881.3156434484,15,Marlim/Marlim Sul,2018-08-01,1304.69914290323,73087.6253594725
PETROBRAS 57,58683.0325238032,16,Jubarte³,2018-08-01,481.147281612903,61709.3575071649
PEREGRINO A,54490.6590878806,17,Peregrino,2018-08-01,95.3458064516129,55090.3660947581
PETROBRAS 43,51589.0317648549,18,Barracuda/Caratinga,2018-08-01,606.160231290322,55401.664449227
FPSO ESPIRITO SANTO,45386.6541838257,19,Argonauta/Ostra,2018-08-01,435.503900645161,48125.8909731427
PETROBRAS 54,44864.0277819839,12,Roncador,2018-08-01,587.872297741935,48561.6328390441
PETROBRAS 53,41264.8848776097,14,Marlim Leste,2018-08-01,678.662804193549,45533.5449700543
PETROBRAS 56,40798.4366259516,10,Marlim Sul,2018-08-01,929.79369967742,46646.6623361196
FPSO CIDADE DE ANCHIETA,39090.1262589226,5,Baleia Azul³/Jubarte³/Pirambu³,2018-08-01,1411.9094016129,47970.7681322814
PETROBRAS 51,38927.1004706355,12,Marlim Sul,2018-08-01,601.763978709677,42712.0815615634
FPSO CIDADE DE CARAGUATATUBA,38802.8138250355,2,Lapa,2018-08-01,1310.21078387097,47043.7907155349
FPSO PIONEIRO DE LIBRA,38577.1778822212,1,Mero,2018-08-01,2583.98003225806,54829.9213289183
PETROBRAS 55,37700.0092639097,10,Roncador,2018-08-01,601.501562903226,41483.339809274
PETROBRAS 50,36986.8009211018,14,Albacora/Albacora Leste,2018-08-01,539.448173225806,40379.8274355392
FPSO CAPIXABA,34737.0015111677,5,Cachalote³/Jubarte³,2018-08-01,847.046079354839,40064.7604115546
FPSO CIDADE DE NITEROI,33850.3574300323,6,Marlim Leste,2018-08-01,568.647587741936,37427.0427138874
FPSO CIDADE DE ANGRA DOS REIS,32005.6434027839,6,Lula,2018-08-01,1487.92464290323,41364.406700963
PETROBRAS 19,30034.5151509787,10,Marlim/Marlim Sul,2018-08-01,384.881066129032,32455.3439295278
PETROBRAS 48,29606.7849407097,10,Barracuda/Caratinga,2018-08-01,550.69272,33070.5375178929
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,27988.0556708774,3,AnC Tartaruga Verde⁴/Tartaruga Verde,2018-08-01,349.582143870967,30186.8609352185
PETROBRAS 66 (P-66),148259.04877148,7,Lula,2018-09-01,6033.69162833333,186209.822712287
FPSO CIDADE DE ILHA BELA,144964.777556807,8,Sapinhoá,2018-09-01,5732.41474266667,181020.577129379
FPSO CIDADE DE SAQUAREMA,143211.72783888,6,Lula,2018-09-01,5743.78187266667,179339.024499398
FPSO CIDADE DE MARICÁ,141732.27017973,6,Lula,2018-09-01,4772.001524,171747.2530854
PETROBRAS 58,122633.251631713,13,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-09-01,3659.28578333333,145649.463944581
FPSO CIDADE DE MANGARATIBA,121711.117263837,5,Lula,2018-09-01,6289.87989166667,161273.266705241
FPSO CIDADE DE PARATY,119899.844871343,6,Lula,2018-09-01,4327.954643,147121.857264431
FPSO CIDADE DE SÃO PAULO,115724.675283153,6,Sapinhoá,2018-09-01,4585.01781833333,144563.566207085
FPSO CIDADE DE ITAGUAÍ,95664.73310899,5,Lula,2018-09-01,4443.199072,123611.611064046
FPSO CIDADE DE ANGRA DOS REIS,80527.07883104,6,Lula,2018-09-01,3927.91976066667,105232.947820879
PETROBRAS 52,55820.5772582367,16,Roncador,2018-09-01,1094.78676633333,62706.5780089877
PETROBRAS 40,52224.4203228033,14,Marlim/Marlim Sul,2018-09-01,1061.57970333333,58901.5549566264
PETROBRAS 43,51348.97731116,18,Barracuda/Caratinga,2018-09-01,594.070261,55085.5663795004
PETROBRAS 56,45150.89161039,10,Marlim Sul,2018-09-01,1098.423558,52059.767089734
PEREGRINO A,44761.6844574,19,Peregrino,2018-09-01,83.8296666666667,45288.9571330967
FPSO PIONEIRO DE LIBRA,42678.7780323694,1,Mero,2018-09-01,2866.54200433333,60708.7825966453
