Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
FPSO CIDADE DE PARATY,98837.3502885218,5,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,4660.06169333333,128148.252927867
FPSO CIDADE DE ITAGUAÍ,97014.8617915233,6,Tupi,2021-04-01,4977.83072766667,128324.471280708
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,92891.7232350613,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-04-01,1074.61159133333,99650.8259683456
FPSO CIDADE DE SÃO PAULO,88921.3898720493,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-04-01,4607.22329166666,117899.949004207
PETROBRAS 70,84687.6220426409,2,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-04-01,2753.58461033333,102007.146060562
PETROBRAS 58,83223.2541094167,12,Baleia Anã/Jubarte,2021-04-01,2649.78677966667,99889.9094940319
PETROBRAS 52,60151.83057818,13,Roncador,2021-04-01,1117.64311133333,67181.5933962755
FPSO CIDADE DE ANGRA DOS REIS,54974.9933814842,4,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,2264.289327,69216.943033342
PETROBRAS 53,54136.9125310233,9,Marlim Leste,2021-04-01,837.119594333333,59402.2357266571
FPSO CIDADE DE CARAGUATATUBA,53141.6255762433,4,Lapa,2021-04-01,1953.357527,65427.8732831432
FPSO ESPIRITO SANTO,51074.4392418967,20,Argonauta/Ostra,2021-04-01,474.355696,54058.0464421545
PETROBRAS 40,48338.7539160867,13,Marlim/Marlim Sul,2021-04-01,1200.87172866667,55892.0089237716
PETROBRAS 57,42323.46477014,15,Jubarte,2021-04-01,412.439597333333,44917.6314738432
FPSO PIONEIRO DE LIBRA,39674.5383725619,1,Mero,2021-04-01,2568.94013966667,55832.6837524387
PETROBRAS 43,34313.5384973733,16,Barracuda/Caratinga,2021-04-01,489.657314333333,37393.3899696403
PETROBRAS 55,32537.90416834,9,Roncador,2021-04-01,600.734147999999,36316.4078197719
PETROBRAS 51,30338.6301697733,11,Marlim Sul,2021-04-01,676.836718666666,34595.8045312101
FPSO CIDADE DE ANCHIETA,29174.8517847133,6,Jubarte,2021-04-01,1091.40374066667,36039.5739467959
PETROBRAS 77,143075.424004032,5,Búzios/Tambuatá,2021-05-01,5622.63685354839,178440.741511849
FPSO CIDADE DE MARICÁ,141669.417045785,7,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,5222.8508583871,174520.156603376
PETROBRAS 76,141251.531276855,4,Búzios/Tambuatá,2021-05-01,5604.12883032258,176500.436835106
PETROBRAS 74,139956.753598645,5,Búzios/Tambuatá,2021-05-01,5762.04188774193,176198.902284583
PETROBRAS 75,138394.29175169,4,Búzios/Tambuatá,2021-05-01,5067.67399225806,170268.998304935
FPSO CIDADE DE SAQUAREMA,131330.056792195,7,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,5751.86194677419,167508.175583635
PETROBRAS 67,128624.661552545,6,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,5640.85775741935,164104.585083739
FPSO CIDADE DE ILHA BELA,124780.015593811,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-05-01,5659.28519516129,160375.844207188
FPSO CIDADE DE ITAGUAÍ,121229.678230713,6,Tupi,2021-05-01,6320.46688322581,160984.214037495
PETROBRAS 69,111005.78377289,7,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,5294.47357387097,144307.016602559
FPSO CIDADE DE PARATY,102242.950604885,7,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,4798.9149116129,132427.213605097
PETROBRAS 68,101670.675892154,5,Berbigão/Sururu,2021-05-01,2400.75896322581,116770.993626641
PETROBRAS 66,97322.4544591171,7,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,4615.86014645161,126355.33776687
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,92857.9417536207,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-05-01,1067.50228193548,99572.3282815614
PETROBRAS 70,92330.1616437826,2,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-05-01,2978.28397483871,111063.001971563
FPSO CIDADE DE SÃO PAULO,87420.8473944075,7,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-05-01,4560.99236064516,116108.622754317
FPSO CIDADE DE MANGARATIBA,86689.7100902226,8,Tupi,2021-05-01,4845.30319290323,117165.746565977
PETROBRAS 58,82655.4645066709,12,Baleia Anã/Jubarte,2021-05-01,2612.87336548387,99089.9415296251
PETROBRAS 52,63153.5190392451,15,Roncador,2021-05-01,1163.68573451613,70472.881209062
PETROBRAS 53,62462.0741390323,10,Marlim Leste,2021-05-01,954.72824967742,68467.1334311358
FPSO CIDADE DE CARAGUATATUBA,54034.7635142258,4,Lapa,2021-05-01,1844.46370032258,65636.0897411518
PETROBRAS 40,47491.7217056839,13,Marlim/Marlim Sul,2021-05-01,1083.32634451613,54305.6385806849
PETROBRAS 57,43091.4254119,15,Jubarte,2021-05-01,402.952998387097,45625.9232106851
PETROBRAS 43,33379.7700776,16,Barracuda/Caratinga,2021-05-01,502.564924516129,36540.8079654708
PETROBRAS 55,33309.0462365774,9,Roncador,2021-05-01,606.478589354838,37123.6813326874
FPSO CIDADE DE ANGRA DOS REIS,29544.0365442746,5,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,1203.81935967742,37115.8315909672
FPSO ESPIRITO SANTO,29218.9863500898,21,Argonauta/Ostra,2021-05-01,270.993286774194,30923.482635175
FPSO CIDADE DE ANCHIETA,28277.4538869194,6,Jubarte,2021-05-01,1059.04645741935,34938.6548852602
PETROBRAS 62,25693.5492146452,12,Roncador,2021-05-01,2958.64795612903,44302.8827155851
PETROBRAS 51,24376.034887771,11,Marlim Sul,2021-05-01,513.889119354839,27608.2998095802
PETROBRAS 75,156415.56745271,4,Búzios/Tambuatá,2021-06-01,5519.15452966667,191130.000804953
FPSO CIDADE DE MARICÁ,140662.248551654,7,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,5217.022689,173476.330031153
PETROBRAS 74,136850.079822267,5,Búzios/Tambuatá,2021-06-01,5662.20298366667,172464.260770963
PETROBRAS 77,134830.53085464,5,Búzios/Tambuatá,2021-06-01,5357.39592133333,168527.533294602
FPSO CIDADE DE SAQUAREMA,129230.332060911,7,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,5696.99272066667,165063.333845287
PETROBRAS 67,128382.086353339,7,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,5566.27905133333,163392.923993206
PETROBRAS 76,127291.027858187,4,Búzios/Tambuatá,2021-06-01,5097.470858,159353.151035544
FPSO CIDADE DE ILHA BELA,126066.998521433,9,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,2021-06-01,5633.53891766666,161500.887941162
FPSO CIDADE DE ITAGUAÍ,125074.861526563,6,Tupi,2021-06-01,6584.35007766667,166489.172488572
FPSO CIDADE DE MANGARATIBA,112400.045252213,8,Tupi,2021-06-01,6476.889045,153138.446736345
PETROBRAS 70,112025.977072265,3,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-06-01,3854.01455233333,136266.996343676
PETROBRAS 66,101112.590161339,8,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,4948.83632533334,132239.830368784
FPSO CIDADE DE PARATY,99397.2562554521,7,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,4602.36216033333,128345.239795138
PETROBRAS 68,98667.7503484172,6,Berbigão/Sururu,2021-06-01,2323.07602866667,113279.457184285
PETROBRAS 69,97994.8802597842,6,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,4559.76170033333,126674.915000158
FPSO CIDADE DE SÃO PAULO,87137.1487766723,7,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,2021-06-01,4752.96339666667,117032.38547866
PETROBRAS 53,63931.5807777033,10,Marlim Leste,2021-06-01,1036.172823,70448.910961537
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,60769.0976142473,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-06-01,696.269938666666,65148.5032371723
PETROBRAS 52,57592.2007850933,15,Roncador,2021-06-01,1022.180271,64021.5204754318
FPSO CIDADE DE CARAGUATATUBA,55945.79060251,4,Lapa,2021-06-01,1921.85244066667,68033.8773023396
FPSO ESPIRITO SANTO,41784.255689283404,24,Abalone/Argonauta/Ostra,2021-06-01,404.327016666667,44327.3958019835
FPSO PIONEIRO DE LIBRA,40388.3416305559,1,Mero,2021-06-01,2631.02147233333,56936.9667974528
PETROBRAS 40,39768.91504693,14,Marlim/Marlim Sul,2021-06-01,899.404371,45425.9976536895
PETROBRAS 57,39666.2171258533,15,Jubarte,2021-06-01,373.996333666667,42018.5830053133
FPSO CIDADE DE ANGRA DOS REIS,37555.721013244,5,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,1505.430741,47024.5943422932
PETROBRAS 55,33585.7466788767,9,Roncador,2021-06-01,610.822641666667,37427.7050386581
FPSO CIDADE DE ANCHIETA,32938.69715135,6,Jubarte,2021-06-01,1195.11810733333,40455.7629740363
PETROBRAS 51,30106.2028208433,11,Marlim Sul,2021-06-01,643.391317333333,34153.0119625197
PETROBRAS 43,28785.6131826733,16,Barracuda/Caratinga,2021-06-01,448.648497666667,31607.5269897821
PETROBRAS 58,25539.2682235967,12,Baleia Anã/Jubarte,2021-06-01,842.744482666666,30839.9708981183
PETROBRAS 75,155445.71506929,4,Búzios/Tambuatá,2021-07-01,5711.18760354839,191367.999969965
PETROBRAS 70,142817.062100658,4,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-07-01,4838.35451322581,173249.392701491
PETROBRAS 77,142364.464461052,5,Búzios/Tambuatá,2021-07-01,5741.29821806451,178476.139406016
PETROBRAS 76,141598.623282364,4,Búzios/Tambuatá,2021-07-01,5664.84534870967,177229.424205132
PETROBRAS 67,140069.038345323,7,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,5423.5529883871,174182.15616721
FPSO CIDADE DE MARICÁ,139983.152016432,7,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,5247.22623,172987.208030148
PETROBRAS 74,133916.296014697,5,Búzios/Tambuatá,2021-07-01,5473.89220806451,168346.037963903
FPSO CIDADE DE ILHA BELA,132073.867529911,9,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,2021-07-01,5712.01771612903,168001.373680996
FPSO CIDADE DE ITAGUAÍ,125691.296114055,7,Tupi,2021-07-01,6594.92290580645,167172.108156225
FPSO CIDADE DE MANGARATIBA,113688.758065671,8,Tupi,2021-07-01,6384.24350483871,153844.436704841
PETROBRAS 69,110193.986931345,7,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,5238.72736709678,143144.586712184
PETROBRAS 66,103492.823401982,8,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,5195.77899193548,136173.286063248
PETROBRAS 68,102590.716843534,6,Berbigão/Sururu,2021-07-01,2548.65514129032,118621.273437773
FPSO CIDADE DE PARATY,102541.83875843,5,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,4669.99095258065,131915.194551881
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,87824.5314540915,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-07-01,1012.58734709677,94193.5134757342
FPSO CIDADE DE SAQUAREMA,87314.5313487267,7,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,3824.73411064516,111371.382205204
FPSO CIDADE DE SÃO PAULO,83412.7695589913,6,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,2021-07-01,4555.03741741935,112063.08945745
PETROBRAS 58,70714.5523934903,12,Baleia Anã/Jubarte,2021-07-01,2307.36166451613,85227.4188645805
PETROBRAS 53,65911.3105813968,10,Marlim Leste,2021-07-01,1172.00679580645,73283.0106457281
PETROBRAS 52,58104.8102905032,15,Roncador,2021-07-01,934.24018451613,63981.0035454746
FPSO CIDADE DE CARAGUATATUBA,55832.4196178193,4,Lapa,2021-07-01,2074.62160870968,68881.3953584976
FPSO CIDADE DE ANGRA DOS REIS,52007.1962596133,5,Anc_Tupi/Sul De Tupi/Tupi,2021-07-01,2199.18701935484,65839.6647658216
FPSO ESPIRITO SANTO,45093.7566340193,23,Argonauta/Ostra,2021-07-01,430.585157096774,47802.0554609781
PETROBRAS 40,42373.5024405581,12,Marlim/Marlim Sul,2021-07-01,1038.38084193548,48904.7206439723
PETROBRAS 57,39491.4770060516,15,Jubarte,2021-07-01,366.654128387097,41797.6618093221
PETROBRAS 55,33539.7767570871,10,Roncador,2021-07-01,610.904621290323,37382.2507531252
FPSO CIDADE DE ANCHIETA,33191.8366417129,6,Jubarte,2021-07-01,1202.42532741935,40754.8634903684
PETROBRAS 51,29690.8959321774,11,Marlim Sul,2021-07-01,646.185143548387,33755.2777099195
PETROBRAS 43,29011.9373193,13,Barracuda/Caratinga,2021-07-01,461.18323516129,31912.6922436498
PETROBRAS 54,28157.6330064194,9,Roncador,2021-07-01,327.105984516129,30215.0674988887
PETROBRAS 70,159200.10776521,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-08-01,5343.97677806452,192812.706343648
PETROBRAS 77,155501.006557132,5,Búzios/Tambuatá,2021-08-01,6421.42392290322,195890.542961648
PETROBRAS 75 (P-75),154355.402882413,4,Búzios/Tambuatá,2021-08-01,5873.45631806451,191298.327166338
PETROBRAS 67 (P-67),145254.402297989,7,Anc_Tupi/Sul De Tupi/Tupi,2021-08-01,5459.93356903226,179596.347059823
PETROBRAS 76,141218.694410713,4,Búzios/Tambuatá,2021-08-01,5648.43873193548,176746.300831228
FPSO CIDADE DE MARICÁ,138535.956052763,7,Anc_Tupi/Sul De Tupi/Tupi,2021-08-01,5267.74959387097,171669.100125788
FPSO CIDADE DE ITAGUAÍ,126237.732488174,7,Tupi,2021-08-01,6428.49578,166671.749530176
FPSO CIDADE DE SAQUAREMA,125258.516066929,7,Anc_Tupi/Sul De Tupi/Tupi,2021-08-01,5577.81785935484,160341.930616878
FPSO CIDADE DE ILHA BELA,124477.601309882,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-08-01,5334.75361096774,158032.187919683
PETROBRAS 66 (P-66),117007.125395692,8,Anc_Tupi/Sul De Tupi/Tupi,2021-08-01,5482.2616483871,151489.509534334
FPSO CIDADE DE MANGARATIBA,112415.140525684,8,Tupi,2021-08-01,6571.30537290323,153747.402773224
FPSO CIDADE DE PARATY,103786.129489151,7,Anc_Tupi/Sul De Tupi/Tupi,2021-08-01,4663.50667709677,133118.700421821
PETROBRAS 68,97841.0175381925,6,Berbigão/Sururu,2021-08-01,2536.03410741935,113792.19022738
FPSO CIDADE DE SÃO PAULO,91243.8790277396,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-08-01,4801.04468677419,121441.537909059
PETROBRAS 74 (P-74),86628.0537204548,5,Búzios/Tambuatá,2021-08-01,3499.99183967742,108642.337393576
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,86241.9543707017,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-08-01,984.815509677419,92436.2568116258
PETROBRAS 58,79894.7431304419,12,Baleia Anã/Jubarte,2021-08-01,2528.97384580645,95801.5081155338
PETROBRAS 52,61767.7643318129,14,Roncador,2021-08-01,1124.94276870968,68843.4406078707
PETROBRAS 69,61160.2515489872,7,Anc_Tupi/Sul De Tupi/Tupi,2021-08-01,2869.19954064516,79206.9715117326
PETROBRAS 53,60282.3993236903,11,Marlim Leste,2021-08-01,1288.4853783871,68386.7275415233
FPSO CIDADE DE CARAGUATATUBA,55495.5536259871,4,Lapa,2021-08-01,2175.80349580645,69180.9442119454
FPSO CIDADE DE ANGRA DOS REIS,50840.2964467764,5,Anc_Tupi/Sul De Tupi/Tupi,2021-08-01,2084.39611,63950.7519434155
PETROBRAS 40,48647.3647287516,14,Marlim/Marlim Sul,2021-08-01,1120.86444064516,55697.3890961659
FPSO ESPIRITO SANTO,45188.3995126247,24,Argonauta/Ostra,2021-08-01,420.516447096774,47833.3680667385
PETROBRAS 55,34100.4930288774,10,Roncador,2021-08-01,608.048296129032,37925.0012823528
FPSO CIDADE DE ANCHIETA,32236.2237794419,6,Jubarte,2021-08-01,1164.29739322581,39559.4331663275
PETROBRAS 50,31038.2314149199,13,Albacora/Albacora Leste,2021-08-01,600.175387419355,34813.2205684641
PETROBRAS 43,30167.2577359839,14,Barracuda/Caratinga,2021-08-01,411.593486774193,32756.1025650311
PETROBRAS 57,28905.9763394807,15,Jubarte,2021-08-01,273.761144193548,30627.8819218407
PETROBRAS 56,28639.201149729,9,Marlim Sul,2021-08-01,681.898093225806,32928.2105954816
PETROBRAS 75 (P-75),166770.598549732,4,Búzios/Búzios_Eco/Tambuatá,2021-09-01,6472.36191533333,207480.525248415
PETROBRAS 70,160989.981768309,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-09-01,5477.58528866666,195442.952492818
PETROBRAS 77,152010.871694646,5,Búzios/Búzios_Eco/Tambuatá,2021-09-01,6353.728171,191974.614681883
PETROBRAS 67 (P-67),142110.025108747,7,Anc_Tupi/Sul De Tupi/Tupi,2021-09-01,5443.66589566667,176349.649295971
FPSO CIDADE DE MARICÁ,137323.941033248,7,Anc_Tupi/Sul De Tupi/Tupi,2021-09-01,5260.05184366667,170408.667720061
PETROBRAS 76,136341.848022114,4,Búzios/Búzios_Eco/Tambuatá,2021-09-01,5495.97342433333,170910.47662622
FPSO CIDADE DE SAQUAREMA,127653.945150573,7,Anc_Tupi/Sul De Tupi/Tupi,2021-09-01,5741.73326366667,163768.356449717
FPSO CIDADE DE ITAGUAÍ,125144.101851647,7,Tupi,2021-09-01,6677.90876166667,167146.879159865
PETROBRAS 66 (P-66),117481.380972012,7,Anc_Tupi/Sul De Tupi/Tupi,2021-09-01,4946.02797533334,148590.957191543
PETROBRAS 74 (P-74),114726.89291754,5,Búzios/Búzios_Eco/Tambuatá,2021-09-01,4640.01192566667,143911.686327718
FPSO CIDADE DE ILHA BELA,113396.092368271,9,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-09-01,5395.10016033333,147330.247307737
FPSO CIDADE DE MANGARATIBA,107186.436419437,8,Tupi,2021-09-01,6064.60076433333,145331.622952948
FPSO CIDADE DE PARATY,103205.520941705,7,Anc_Tupi/Sul De Tupi/Tupi,2021-09-01,4614.25757366666,132228.324371129
PETROBRAS 69,96305.9620086038,6,Anc_Tupi/Sul De Tupi/Tupi,2021-09-01,4840.836647,126753.904759271
FPSO CIDADE DE SÃO PAULO,95753.6162737872,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-09-01,4751.052959,125636.836685835
PETROBRAS 68,86160.7839017952,6,Berbigão/Sururu,2021-09-01,2268.611633,100429.920037155
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,84903.0607070115,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-09-01,973.417819333334,91025.6738412325
PETROBRAS 58,71939.5425331467,12,Baleia Anã/Jubarte,2021-09-01,2311.16467966667,86476.3292469608
PETROBRAS 53,66422.4964931433,10,Marlim Leste,2021-09-01,1434.98462866667,75448.2771603772
PETROBRAS 52,60556.01376878,14,Roncador,2021-09-01,1126.26199966667,67639.9877569034
FPSO CIDADE DE CARAGUATATUBA,57858.4610220133,4,Lapa,2021-09-01,2349.92158,72639.0212751131
FPSO CIDADE DE ANGRA DOS REIS,53109.6079420956,6,Anc_Tupi/Sul De Tupi/Tupi,2021-09-01,2137.40403966667,66553.4732448313
FPSO CARIOCA (MV-30),49697.3821782149,1,Sépia/Sépia Leste,2021-09-01,1211.93511766667,57320.2238006658
PETROBRAS 40,45766.97849989,14,Marlim/Marlim Sul,2021-09-01,1106.10382033333,52724.1613700608
FPSO ESPIRITO SANTO,36278.5332927634,24,Argonauta/Ostra,2021-09-01,333.899190333333,38378.6957591139
PETROBRAS 55,34130.37084376,10,Roncador,2021-09-01,623.474334666667,38051.9059486898
PETROBRAS 50,31713.1752762287,13,Albacora/Albacora Leste,2021-09-01,822.970782333334,36889.5051326567
PETROBRAS 43,30159.2531749867,16,Barracuda/Caratinga,2021-09-01,377.461435,32533.413883464
PETROBRAS 51,27812.18751085,11,Marlim Sul,2021-09-01,527.368989,31129.2382515521
PETROBRAS 56,27734.4056237867,8,Marlim Sul,2021-09-01,573.420631666667,31341.11244705
PETROBRAS 77,160652.094508752,5,Búzios/Búzios_Eco/Tambuatá,2021-10-01,6530.15356387097,201725.519696323
PETROBRAS 70,157829.414155938,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-10-01,5409.92472451613,191856.812787447
FPSO CIDADE DE MARICÁ,136282.469298528,7,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,5284.64407709677,169521.876461092
PETROBRAS 75 (P-75),134360.394731148,4,Búzios/Búzios_Eco/Tambuatá,2021-10-01,5310.7308916129,167763.883000524
FPSO CIDADE DE ITAGUAÍ,131732.311665019,7,Tupi,2021-10-01,7197.06908935484,177000.508793934
PETROBRAS 67 (P-67),127092.67746487,7,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,5270.31684290322,160241.969046531
FPSO CIDADE DE SAQUAREMA,126260.300174281,7,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,5608.68098645161,161537.837929675
PETROBRAS 74 (P-74),117265.040087488,5,Búzios/Búzios_Eco/Tambuatá,2021-10-01,4645.58737870968,146484.90203797
PETROBRAS 66 (P-66),111023.562162302,8,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,4458.06280935484,139063.930201211
FPSO CIDADE DE ILHA BELA,106634.094441936,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-10-01,5265.29652225807,139751.8091606
FPSO CIDADE DE PARATY,101848.155854544,5,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,4590.07800451613,130718.87438813
PETROBRAS 69,94147.8518107695,7,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,4957.56823645161,125330.014080085
FPSO CIDADE DE SÃO PAULO,88031.2309012994,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-10-01,4646.24874064516,117255.252692697
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,83340.5137190919,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-10-01,955.963537741936,89353.3427384165
PETROBRAS 68,81056.7326326688,5,Berbigão/Sururu,2021-10-01,2139.48187645161,94513.6671339929
FPSO CIDADE DE MANGARATIBA,78930.3346790258,8,Tupi,2021-10-01,4400.37550516129,106607.860535144
PETROBRAS 58,65443.0504586645,13,Baleia Anã/Jubarte,2021-10-01,2069.50949645161,78459.8719845408
FPSO CIDADE DE CARAGUATATUBA,57752.8649864387,4,Lapa,2021-10-01,2426.20246290322,73013.217499632
PETROBRAS 52,57644.2683733323,14,Roncador,2021-10-01,1005.7176383871,63970.0412324358
PETROBRAS 53,57093.3459444032,9,Marlim Leste,2021-10-01,1276.88261677419,65124.6949962157
PETROBRAS 76,56968.0080788,4,Búzios/Búzios_Eco/Tambuatá,2021-10-01,2195.79817451613,70779.1613948533
FPSO CIDADE DE ANGRA DOS REIS,50301.2779823992,5,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,2050.63177709678,63199.3622403003
FPSO CARIOCA (MV-30),49648.5117108143,1,Sépia/Sépia Leste,2021-10-01,1323.12650129032,57970.7260098952
PETROBRAS 40,48032.3410200387,15,Marlim/Marlim Sul,2021-10-01,1126.9821016129,55120.8443125846
PETROBRAS 57,35056.7855964226,15,Jubarte,2021-10-01,335.575197096774,37167.4898268738
PETROBRAS 43,30526.1867581194,15,Barracuda/Caratinga,2021-10-01,383.381826774194,32937.5856059819
PETROBRAS 51,29476.8983352387,11,Marlim Sul,2021-10-01,621.254920967742,33384.4737496908
FPSO CIDADE DE ANCHIETA,29356.2131131065,6,Jubarte,2021-10-01,1054.26581225807,35987.3447617054
PETROBRAS 56,26312.2068103613,8,Marlim Sul,2021-10-01,574.274416129032,29924.2837756739
FPSO CAPIXABA,23307.7471807484,5,Jubarte,2021-10-01,548.081042258065,26755.0728011536
PETROBRAS 70,161174.548137629,4,Anc_Norte_Atapu/Atapu/Búzios,2021-12-01,5583.43291709677,196293.280333913
PETROBRAS 74 (P-74),149885.475839484,5,Búzios/Búzios_Eco/Búzios,2021-12-01,6155.27003483871,188600.954857312
PETROBRAS 76,147349.568476017,4,Búzios/Búzios_Eco/Búzios,2021-12-01,5979.63516677419,184960.337544345
PETROBRAS 77,142371.812827814,5,Búzios/Búzios_Eco/Tambuatá/,2021-12-01,5835.14786064516,179073.784193178
PETROBRAS 67 (P-67),141385.41030676,7,Anc_Tupi/Sul De Tupi/Berbigão,2021-12-01,5516.24834129032,176081.564286291
PETROBRAS 75 (P-75),141103.805512262,5,Búzios/Búzios_Eco/Búzios,2021-12-01,5601.98040419355,176339.197878362
FPSO CIDADE DE MARICÁ,134962.439039537,7,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-12-01,5303.29755870968,168319.173057285
FPSO CIDADE DE ITAGUAÍ,130480.377737765,7,Tupi,2021-12-01,7562.27267,178045.63600025701
FPSO CIDADE DE SAQUAREMA,121605.396451958,7,Anc_Tupi/Sul De Tupi/Nordeste De Sapinhoá,2021-12-01,5626.38320967742,156994.277828019
FPSO CIDADE DE ILHA BELA,121568.373569146,9,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Tupi,2021-12-01,5915.44935354839,158775.426067588
FPSO CIDADE DE MANGARATIBA,109134.669830474,8,Anc_Tupi,2021-12-01,6248.45423870967,148436.259785653
FPSO CIDADE DE PARATY,101055.061556079,6,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-12-01,4663.51161645161,130387.663556353
PETROBRAS 69,100325.202040998,7,Anc_Tupi/Sul De Tupi/Anc_Norte_Atapu,2021-12-01,5445.68575322581,134577.530748496
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,80653.6874878267,11,Espadarte/Tartaruga Verde/Lapa,2021-12-01,916.478373548386,86418.162326555
PETROBRAS 58,70007.7644148194,13,Baleia Anã/Anc_Tupi,2021-12-01,2066.38075193548,83004.9067321507
PETROBRAS 68,63104.8215812522,5,Berbigão/Anc_Tupi,2021-12-01,1587.01147677419,73086.8222379813
FPSO CIDADE DE CARAGUATATUBA,59198.8436101355,4,Nordeste De Sapinhoá,2021-12-01,2671.03555193548,75999.1497350548
PETROBRAS 53,50877.4635305839,7,Roncador,2021-12-01,1055.18607225806,57514.3834397334
PETROBRAS 40,50030.4127889129,15,Marlim/Barracuda,2021-12-01,1153.63939129032,57286.5853686447
PETROBRAS 52,48257.3620162452,15,Marlim Leste,2021-12-01,792.891470322581,53244.4987151948
PETROBRAS 66 (P-66),46302.3934976256,4,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-12-01,1620.55952,56495.4049721169
FPSO CARIOCA (MV-30),43885.7350010766,3,Anc_Tupi,2021-12-01,1242.91078580645,51703.4076907499
PETROBRAS 57,39414.5404559258,16,Baleia Anã,2021-12-01,367.114442258064,41723.620545985
