Poço,Campo,Bacia,Localização,Operador,Petróleo (bbl/d),mes
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,250.50258558733336,2023-06-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,241.1265754806667,2023-06-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,239.69228914033334,2023-06-01
7-CNC-9-ES,Cancã,Espírito Santo,Terra,NA,235.55694872566667,2023-06-01
3-GTE-3D-BA,Tiê,Recôncavo,Terra,NA,233.2863273156667,2023-06-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,227.743956404,2023-06-01
3-BRSA-1323-RN,Boa Esperança,Potiguar,Terra,NA,216.85881121800003,2023-06-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,703.7455367048387,2023-05-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,600.5538993593549,2023-05-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,547.6965679874194,2023-05-01
7-RIP-3A-ES,Rio Ipiranga,Espírito Santo,Terra,NA,461.43304122000006,2023-05-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,408.7015060480646,2023-05-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,397.18973346838715,2023-05-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,389.47761482000004,2023-05-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,385.7025114374194,2023-05-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,360.24521560225804,2023-05-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,319.4825801690323,2023-05-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,316.89645377354844,2023-05-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,308.9919886774194,2023-05-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,306.9003225067742,2023-05-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,296.4312381074194,2023-05-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,277.9264141903226,2023-05-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,270.4522938364516,2023-05-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,254.1495121106452,2023-05-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,252.40723474064518,2023-05-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,249.4840962674194,2023-05-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,248.11291768741938,2023-05-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,239.39706710129033,2023-05-01
1-SUC-1-AM,Sudoeste Urucu,Solimões,Terra,NA,239.0641129654839,2023-05-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,238.7644339535484,2023-05-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,236.47291414258063,2023-05-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,234.68620230838712,2023-05-01
7-RUC-85HP-AM,Rio Urucu,Solimões,Terra,NA,227.14634329516133,2023-05-01
7-LPX-21D-RN,Leste De Poço Xavier,Potiguar,Terra,NA,226.5305506064516,2023-05-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,224.2138715554839,2023-05-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,222.97619926516128,2023-05-01
3-BRSA-1323-RN,Boa Esperança,Potiguar,Terra,NA,222.43953644419355,2023-05-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,674.411486,2023-03-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,531.3408301,2023-03-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,474.7232069,2023-03-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,443.1507954,2023-03-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,419.1318371,2023-03-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,404.683129,2023-03-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,395.2960949,2023-03-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,360.05713,2023-03-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,347.47751,2023-03-01
7-RFQ-30D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,342.1133165,2023-03-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,340.404923,2023-03-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,312.9606559,2023-03-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,307.244436,2023-03-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,300.473557,2023-03-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,299.2900582,2023-03-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,291.5065198,2023-03-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,280.770017,2023-03-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,274.4373957,2023-03-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,264.903464,2023-03-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,264.4055546,2023-03-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,262.7998269,2023-03-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,246.4329297,2023-03-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,227.7290638,2023-03-01
7-ANB-16D-AL,Anambé,Alagoas,Terra,NA,218.3560295,2023-03-01
7-LUC-24DP-AM,Leste Do Urucu,Solimões,Terra,NA,216.5989406,2023-03-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,211.8653513,2023-03-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,209.275167,2023-03-01
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,NA,207.0988928,2023-03-01
3-GTE-4DPA-BA,Tiê,Recôncavo,Terra,NA,204.5316358,2023-03-01
7-LPX-21D-RN,Leste De Poço Xavier,Potiguar,Terra,NA,204.2388553,2023-03-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,1137.2043571306667,2023-11-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,649.9032143236667,2023-11-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,494.5862104093334,2023-11-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,492.24262720333337,2023-11-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,445.15585158133337,2023-11-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,423.76022422500006,2023-11-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,420.60965839600004,2023-11-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,397.724813692,2023-11-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,374.997214238,2023-11-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,349.55954531533337,2023-11-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,336.34800907066676,2023-11-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,320.159505753,2023-11-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,320.04566019200007,2023-11-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,299.675481526,2023-11-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,287.37366146766664,2023-11-01
3-GTE-3D-BA,Tiê,Recôncavo,Terra,NA,287.077621077,2023-11-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,284.56714824566666,2023-11-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,261.02103485033336,2023-11-01
7-ANB-13D-AL,Anambé,Alagoas,Terra,NA,248.4019987076667,2023-11-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,246.7980971576667,2023-11-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,240.6070371746667,2023-11-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,236.5865906226667,2023-11-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,225.96163391033332,2023-11-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,225.9597469673333,2023-11-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,215.08969732533333,2023-11-01
7-LUC-29H-AM,Leste Do Urucu,Solimões,Terra,NA,211.74540534833335,2023-11-01
7-LUC-24DP-AM,Leste Do Urucu,Solimões,Terra,NA,208.08473592833334,2023-11-01
4-RUC-10-AM,Rio Urucu,Solimões,Terra,NA,206.81335566700002,2023-11-01
1-IMT-1-AM,Leste Do Urucu,Solimões,Terra,NA,201.68024172600002,2023-11-01
7-RUC-58HP-AM,Rio Urucu,Solimões,Terra,NA,197.01425100766667,2023-11-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,918.1893043593549,2023-10-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,547.3569182474195,2023-10-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,511.73427496677425,2023-10-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,475.4633754619355,2023-10-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,407.9568737029033,2023-10-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,396.10463979483876,2023-10-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,388.34423163741934,2023-10-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,376.0160011403226,2023-10-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,361.94488458193547,2023-10-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,353.81337763451614,2023-10-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,343.4159159103226,2023-10-01
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,NA,332.73358666225806,2023-10-01
7-PIR-157D-AL,Pilar,Alagoas,Terra,NA,331.05704795161296,2023-10-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,325.53114552096775,2023-10-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,325.50679786935484,2023-10-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,309.21436389548387,2023-10-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,306.7272512832258,2023-10-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,304.8599893016129,2023-10-01
7-CAM-1462-RN,Canto Do Amaro,Potiguar,Terra,NA,265.30134524064516,2023-10-01
3-GTE-3D-BA,Tiê,Recôncavo,Terra,NA,263.4440252167742,2023-10-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,255.57770477483874,2023-10-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,252.85868078096775,2023-10-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,245.0974610351613,2023-10-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,239.78378896774194,2023-10-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,234.4506387790323,2023-10-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,234.13411930806456,2023-10-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,225.62765852580645,2023-10-01
7-BR-47-RN,Brejinho Rn,Potiguar,Terra,NA,222.88043183548388,2023-10-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,220.99145986451614,2023-10-01
7-LUC-29H-AM,Leste Do Urucu,Solimões,Terra,NA,208.76204025354838,2023-10-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,629.425060586,2023-09-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,619.4909346720001,2023-09-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,489.912042938,2023-09-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,429.24808345,2023-09-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,416.76616516533335,2023-09-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,389.10798365233336,2023-09-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,371.31998165166664,2023-09-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,356.9811017946667,2023-09-01
3-GTE-3D-BA,Tiê,Recôncavo,Terra,NA,353.7951033693334,2023-09-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,343.52468228066664,2023-09-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,338.5079298246667,2023-09-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,320.01316284033334,2023-09-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,310.5553852036667,2023-09-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,298.4714022316667,2023-09-01
7-BR-47-RN,Brejinho Rn,Potiguar,Terra,NA,290.1902383856667,2023-09-01
7-CNC-9-ES,Cancã,Espírito Santo,Terra,NA,289.91621233,2023-09-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,282.47243185533335,2023-09-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,269.842283715,2023-09-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,259.4209071863334,2023-09-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,258.4524861066667,2023-09-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,257.72202950533335,2023-09-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,248.67770204599998,2023-09-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,247.07086525133334,2023-09-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,243.32528339633333,2023-09-01
7-LV-62-RN,Livramento,Potiguar,Terra,NA,238.3443828573334,2023-09-01
7-PIR-157D-AL,Pilar,Alagoas,Terra,NA,238.24647148166667,2023-09-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,234.37928663333335,2023-09-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,228.58972618866667,2023-09-01
4-RUC-10-AM,Rio Urucu,Solimões,Terra,NA,224.5655057506667,2023-09-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,220.94928432133335,2023-09-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,658.8095108880647,2023-08-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,646.7708145480645,2023-08-01
3-BRSA-1106DA-AM,Arara Azul,Solimões,Terra,NA,479.96606783354844,2023-08-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,445.72677695870965,2023-08-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,431.943774277742,2023-08-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,396.53072369806455,2023-08-01
3-GTE-3D-BA,Tiê,Recôncavo,Terra,NA,382.03433482483877,2023-08-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,366.43641761322584,2023-08-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,346.0832011445162,2023-08-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,332.5438778767742,2023-08-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,296.0418785787097,2023-08-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,292.95337897161295,2023-08-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,287.2286373861291,2023-08-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,278.46409149677424,2023-08-01
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,NA,271.62524195290325,2023-08-01
7-BR-47-RN,Brejinho Rn,Potiguar,Terra,NA,267.9310945119355,2023-08-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,266.74292911322584,2023-08-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,260.1400488929033,2023-08-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,256.28358377451616,2023-08-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,254.40536534967742,2023-08-01
7-PIR-277D-AL,Pilar,Alagoas,Terra,NA,252.42752445032258,2023-08-01
7-LV-62-RN,Livramento,Potiguar,Terra,NA,248.4876686251613,2023-08-01
7-LUC-29H-AM,Leste Do Urucu,Solimões,Terra,NA,237.19319883612908,2023-08-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,235.70109358645163,2023-08-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,231.34367553612904,2023-08-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,229.37232734387098,2023-08-01
7-CNC-9-ES,Cancã,Espírito Santo,Terra,NA,222.93886619935486,2023-08-01
4-RUC-10-AM,Rio Urucu,Solimões,Terra,NA,222.72136051161294,2023-08-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,218.15698742258067,2023-08-01
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,NA,207.38741242290325,2023-08-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,1328,2024-04-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,733,2024-04-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,703,2024-04-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,536,2024-04-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,400,2024-04-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,398,2024-04-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,337,2024-04-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,330,2024-04-01
7-BA-395D-BA,Buracica,Recôncavo,Terra,NA,327,2024-04-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,310,2024-04-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,308,2024-04-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,289,2024-04-01
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,NA,287,2024-04-01
7-BE-38D-RN,Boa Esperança,Potiguar,Terra,NA,274,2024-04-01
7-RUC-33D-AM,Rio Urucu,Solimões,Terra,NA,259,2024-04-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,252,2024-04-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,212,2024-04-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,212,2024-04-01
7-LPX-21D-RN,Leste De Poço Xavier,Potiguar,Terra,NA,208,2024-04-01
3-SUC-3-AM,Rio Urucu,Solimões,Terra,NA,200,2024-04-01
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,NA,199,2024-04-01
4-RUC-10-AM,Rio Urucu,Solimões,Terra,NA,195,2024-04-01
7-RUC-92DP-AM,Rio Urucu,Solimões,Terra,NA,186,2024-04-01
7-RUC-58HP-AM,Rio Urucu,Solimões,Terra,NA,185,2024-04-01
7-LUC-36HP-AM,Leste Do Urucu,Solimões,Terra,NA,185,2024-04-01
7-SDM-27-RN,Angico / Janduí / Sabiá Da Mata,Potiguar,Terra,NA,184,2024-04-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,180,2024-04-01
7-CNC-9-ES,Cancã,Espírito Santo,Terra,NA,179,2024-04-01
7-LUC-24DP-AM,Leste Do Urucu,Solimões,Terra,NA,179,2024-04-01
7-RUC-85HP-AM,Rio Urucu,Solimões,Terra,NA,174,2024-04-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,1224.1518364848387,2024-01-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,718.9090512322581,2024-01-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,555.2084272012903,2024-01-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,528.3724455935484,2024-01-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,401.31909518193555,2024-01-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,366.3250271070968,2024-01-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,364.7750961848388,2024-01-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,356.12782481741937,2024-01-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,324.2636473574194,2024-01-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,296.2535002506451,2024-01-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,294.9188431480645,2024-01-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,276.9042186167742,2024-01-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,266.8317980416129,2024-01-01
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,NA,265.18873735193546,2024-01-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,263.10234650580645,2024-01-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,242.72356500290323,2024-01-01
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,NA,240.07230863935484,2024-01-01
7-LUC-67HP-AM,Leste Do Urucu,Solimões,Terra,NA,237.6217175045161,2024-01-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,228.71230308806452,2024-01-01
7-ANB-13D-AL,Anambé,Alagoas,Terra,NA,219.79010615451614,2024-01-01
7-RFQ-43D-RN,Riacho Da Forquilha,Potiguar,Terra,NA,217.5032529767742,2024-01-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,211.21242849129032,2024-01-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,210.80906906290326,2024-01-01
7-BR-47-RN,Brejinho Rn,Potiguar,Terra,NA,206.71724331225806,2024-01-01
7-C-207-BA,Candeias,Recôncavo,Terra,NA,206.24489887096775,2024-01-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,200.95983529419357,2024-01-01
4-RUC-10-AM,Rio Urucu,Solimões,Terra,NA,198.37025964806452,2024-01-01
7-LV-17-RN,Livramento,Potiguar,Terra,NA,198.34570909935488,2024-01-01
7-PIR-76-AL,Pilar,Alagoas,Terra,NA,196.75377847806453,2024-01-01
1-IMT-1-AM,Leste Do Urucu,Solimões,Terra,NA,195.79732156387098,2024-01-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,1323,2024-05-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,771,2024-05-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,734,2024-05-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,469,2024-05-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,388,2024-05-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,349,2024-05-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,349,2024-05-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,340,2024-05-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,336,2024-05-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,331,2024-05-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,313,2024-05-01
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,NA,309,2024-05-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,262,2024-05-01
7-RUC-33D-AM,Rio Urucu,Solimões,Terra,NA,254,2024-05-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,242,2024-05-01
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,NA,219,2024-05-01
7-LUC-25-AM,Leste Do Urucu,Solimões,Terra,NA,213,2024-05-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,212,2024-05-01
7-TIE-4HE-BA,Tiê,Recôncavo,Terra,NA,204,2024-05-01
7-LUC-24DP-AM,Leste Do Urucu,Solimões,Terra,NA,204,2024-05-01
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,NA,204,2024-05-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,203,2024-05-01
7-LUC-29H-AM,Leste Do Urucu,Solimões,Terra,NA,203,2024-05-01
7-RUC-58HP-AM,Rio Urucu,Solimões,Terra,NA,203,2024-05-01
7-LUC-73HP-AM,Leste Do Urucu,Solimões,Terra,NA,202,2024-05-01
7-BE-40D-RN,Boa Esperança,Potiguar,Terra,NA,202,2024-05-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,201,2024-05-01
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,NA,198,2024-05-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,198,2024-05-01
7-CNC-9-ES,Cancã,Espírito Santo,Terra,NA,196,2024-05-01
1-BRSA-769-AM,Arara Azul,Solimões,Terra,NA,1356.6965968206453,2024-03-01
7-TIE-2DB-BA,Tiê,Recôncavo,Terra,NA,839.5685054332258,2024-03-01
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,NA,489.2167551667742,2024-03-01
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,NA,392.5005786648387,2024-03-01
3-BRSA-1218-AM,Sudoeste Urucu,Solimões,Terra,NA,391.897365596129,2024-03-01
7-RUC-33D-AM,Rio Urucu,Solimões,Terra,NA,368.98155879516133,2024-03-01
4-SMT-3-AM,Araracanga,Solimões,Terra,NA,340.8113258790323,2024-03-01
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,NA,331.18243835741936,2024-03-01
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,NA,304.10216864516127,2024-03-01
7-TIE-1D-BA,Tiê,Recôncavo,Terra,NA,289.23670995290325,2024-03-01
1-SMT-2-AM,Araracanga,Solimões,Terra,NA,277.4901854322581,2024-03-01
7-LUC-50HP-AM,Leste Do Urucu,Solimões,Terra,NA,276.53474300354844,2024-03-01
7-LUC-88HP-AM,Leste Do Urucu,Solimões,Terra,NA,262.95686928741935,2024-03-01
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,NA,260.2222222170968,2024-03-01
7-BA-395D-BA,Buracica,Recôncavo,Terra,NA,238.4489289680645,2024-03-01
7-ANB-13D-AL,Anambé,Alagoas,Terra,NA,233.97139583645162,2024-03-01
4-LUC-3-AM,Leste Do Urucu,Solimões,Terra,NA,233.45400823967742,2024-03-01
3-LUC-6-AM,Leste Do Urucu,Solimões,Terra,NA,223.0265177451613,2024-03-01
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,NA,215.71491796580645,2024-03-01
7-LUC-29H-AM,Leste Do Urucu,Solimões,Terra,NA,209.97049536193552,2024-03-01
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,NA,203.8754665748387,2024-03-01
