Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos Produtores,mes,Campos produtores
PONTO DE COLETA ÁREA DO LUC-04,1723.67312650548,1610.66602419355,11854.4563921383,7,Leste Do Urucu,2020-10-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1961.10067148839,1550.97925322581,11716.4654882206,8,Leste Do Urucu,2020-10-01,NA
FPSO CIDADE DE CARAGUATATUBA,41082.500677319404,1485.61151548387,50426.714843525,3,Lapa,2020-10-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1963.33436562677,1231.60772258065,9709.91293519174,4,Leste Do Urucu,2020-10-01,NA
PETROBRAS 70,34063.3545109522,1222.09476322581,41750.0983736375,1,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2020-10-01,NA
PETROBRAS 52,64128.8352385839,1198.53835870968,71667.4137925796,14,Roncador,2020-10-01,NA
POLO ARARA,7314.79845208548,7116.42344064516,52075.7497732898,32,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-01-01,NA
FPSO CIDADE DE ITAGUAÍ,126361.588991929,6688.10353870968,168428.489510741,6,Tupi,2021-01-01,NA
FPSO CIDADE DE MANGARATIBA,109486.061225465,6238.21034193548,148723.219016274,8,Tupi,2021-01-01,NA
PETROBRAS 69,136539.399819695,6055.1404416129,174625.082720756,7,Anc_Tupi/Sul de Tupi/Tupi,2021-01-01,NA
FPSO CIDADE DE SAQUAREMA,132279.406874418,5880.71492322581,169267.986405672,7,Anc_Tupi/Sul de Tupi/Tupi,2021-01-01,NA
FPSO CIDADE DE ILHA BELA,130340.745223871,5846.14732193548,167111.901110854,7,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-01-01,NA
PETROBRAS 66,107258.201886135,5791.18591548387,143683.660969205,7,Anc_Tupi/Sul De Tupi/Tupi,2021-01-01,NA
PETROBRAS 77,146524.003059803,5660.26909,182126.020184776,4,Búzios/Tambuatá,2021-01-01,NA
PLATAFORMA DE MEXILHÃO,3605.10402107742,5415.32683612903,37666.4809082302,7,Mexilhão,2021-01-01,NA
PETROBRAS 74,130478.778908642,5396.10730354839,164419.268587574,5,Búzios/Tambuatá,2021-01-01,NA
PETROBRAS 76,128161.927395142,5285.54063967742,161406.973765991,4,Búzios/Tambuatá,2021-01-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,50.6959071504484,5124.04379096774,32279.9577840173,26,Gavião Branco/Gavião Caboclo,2021-01-01,NA
FPSO CIDADE DE MARICÁ,136713.966516585,4882.40582064516,167423.371471337,7,Anc_Tupi/Sul de Tupi/Tupi,2021-01-01,NA
FPSO CIDADE DE SÃO PAULO,93531.8301709469,4763.38141096774,123492.594203466,7,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-01-01,NA
PETROBRAS 75,109416.518245545,4147.85064451613,135505.710707929,4,Búzios/Tambuatá,2021-01-01,NA
PETROBRAS 67,94754.5710184124,3909.10165419355,119342.077693976,6,Anc_Tupi/Sul de Tupi/Tupi,2021-01-01,NA
PLATAFORMA DE MANATI 1,256.956593444516,3431.6976283871,21841.68265345,6,Manati,2021-01-01,NA
FPSO CIDADE DE PARATY,74576.183008195,3232.55810516129,94908.3593036196,4,Anc_Tupi/Sul de Tupi/Tupi,2021-01-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,20.2657312985226,3108.23741709677,19570.488519728,13,Gavião Azul/Gavião Real/Gavião Vermelho,2021-01-01,NA
PETROBRAS 58,89376.3699681871,2975.96369032258,108094.616147215,13,Baleia Anã/Jubarte,2021-01-01,NA
PETROBRAS 62,27643.0778531161,2747.00191870968,44921.1979914354,12,Roncador,2021-01-01,NA
FPSO CIDADE DE ANGRA DOS REIS,61234.3658167287,2423.79980516129,76479.6060692302,4,Anc_Tupi/Sul de Tupi/Tupi,2021-01-01,NA
FPSO CIDADE DE CARAGUATATUBA,49803.094997571,1868.62045870968,61556.3626449677,4,Lapa,2021-01-01,NA
FPSO PIONEIRO DE LIBRA,27634.2617916539,1854.12816225806,39296.3756479063,1,Mero,2021-01-01,NA
PETROBRAS 68,87074.0843033524,1774.38018064516,98234.5985073762,4,Berbigão/Sururu,2021-01-01,NA
PETROBRAS 70,48370.1908294587,1689.91498451613,58999.4349982181,1,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-01-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1905.43402691452,1608.82917354839,12024.6638509909,8,Leste do Urucu,2021-01-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1663.15703842161,1552.83447064516,11430.1908202303,7,Leste do Urucu,2021-01-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1536.99197149968,1243.00560322581,9355.26104472539,4,Leste do Urucu,2021-01-01,NA
PETROBRAS 40,54880.7490461387,1148.79659451613,62106.4613542922,14,Marlim/Marlim Sul,2021-01-01,NA
POLO ARARA,7169.01851123,7202.19513516129,52469.4574943188,32,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-03-01,NA
FPSO CIDADE DE MANGARATIBA,112680.22761159,6324.20776774193,152458.292871211,7,Tupi,2021-03-01,NA
FPSO CIDADE DE ITAGUAÍ,117550.760245829,6247.3523283871,156845.419394441,7,Tupi,2021-03-01,NA
PETROBRAS 69,125967.482482743,5962.27072354839,163469.032502425,7,Anc_Tupi/Sul de Tupi/Tupi,2021-03-01,NA
FPSO CIDADE DE ILHA BELA,129908.07732811601,5960.51716354839,167398.597788574,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-03-01,NA
PETROBRAS 77,152175.510967177,5927.49779838709,189458.345894451,4,Búzios/Tambuatá,2021-03-01,NA
PETROBRAS 75,154371.661026777,5791.98879645161,190802.170078587,4,Búzios/Tambuatá,2021-03-01,NA
PETROBRAS 76,138465.571530758,5606.4845083871,173729.293856456,4,Búzios/Tambuatá,2021-03-01,NA
FPSO CIDADE DE SAQUAREMA,117701.410169468,5171.0917,150226.594455045,7,Anc_Tupi/Sul de Tupi/Tupi,2021-03-01,NA
FPSO CIDADE DE MARICÁ,142822.773442919,5143.36497774194,175173.56191357,7,Anc_Tupi/Sul de Tupi/Tupi,2021-03-01,NA
PETROBRAS 66,95166.3156927982,4915.18110741935,126081.870974055,6,Anc_Tupi/Sul de Tupi/Tupi,2021-03-01,NA
PETROBRAS 74,112888.8180009,4750.64285774193,142769.458953954,5,Búzios/Tambuatá,2021-03-01,NA
PLATAFORMA DE MEXILHÃO,3146.82237756452,4728.4270616129,32887.730193968,7,Mexilhão,2021-03-01,NA
PETROBRAS 67,100873.380791907,4353.09997870968,128253.552568995,6,Anc_Tupi/Sul de Tupi/Tupi,2021-03-01,NA
FPSO CIDADE DE SÃO PAULO,73033.9991170888,4010.36717903226,98258.4467034377,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-03-01,NA
PLATAFORMA DE MANATI 1,257.102679354193,3638.70213516129,23143.847756113,6,Manati,2021-03-01,NA
FPSO PIONEIRO DE LIBRA,43924.7844586415,2893.00657967742,62121.2461735623,1,Mero,2021-03-01,NA
PETROBRAS 68,107970.423820359,2732.59893580645,125157.951932784,5,Berbigão/Sururu,2021-03-01,NA
PETROBRAS 70,81671.3177366986,2643.79633096774,98300.2943371829,2,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-03-01,NA
PETROBRAS 58,81081.5410027193,2596.47662677419,97412.8856545699,12,Baleia Anã/Jubarte,2021-03-01,NA
FPSO CIDADE DE PARATY,51444.1810216886,2274.66667935484,65751.4022481614,5,Anc_Tupi/Sul de Tupi/Tupi,2021-03-01,NA
FPSO CIDADE DE ANGRA DOS REIS,52238.9754050724,2144.49164354839,65727.4203895794,4,Anc_Tupi/Sul de Tupi/Tupi,2021-03-01,NA
FPSO CIDADE DE CARAGUATATUBA,50605.3866396935,2025.15010870968,63343.1960449568,4,Lapa,2021-03-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2202.69004172032,1629.42788483871,12451.4818460577,9,Leste do Urucu,2021-03-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1646.72988077548,1600.58667483871,11714.1159540428,7,Leste do Urucu,2021-03-01,NA
PETROBRAS 62,19361.7009651645,1243.11991806452,27180.6890570059,12,Roncador,2021-03-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1463.06722587839,1178.92976967742,8878.31148049312,4,Leste do Urucu,2021-03-01,NA
PETROBRAS 40,49172.8600935129,1118.05014774194,56205.1830932816,14,Marlim/Marlim Sul,2021-03-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,93807.7253721565,1086.00876290323,100638.514149153,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-03-01,NA
FPSO CIDADE DE ANCHIETA,29005.2498309903,1042.57439064516,35562.8446590142,6,Jubarte,2021-03-01,NA
POLO ARARA,7085.92529894233,7094.31007133333,51707.7877287154,32,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-04-01,NA
PETROBRAS 77,154124.820747313,5993.88695766667,191825.230872515,5,Búzios/Tambuatá,2021-04-01,NA
PETROBRAS 74 (P-74),140489.18358038,5899.470622,177595.732893342,5,Búzios/Tambuatá,2021-04-01,NA
FPSO CIDADE DE ILHA BELA,128107.826109177,5815.30231133333,164684.972740024,9,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-04-01,NA
PETROBRAS 76,141148.225678973,5678.67325833333,176866.001525971,4,Búzios/Tambuatá,2021-04-01,NA
PETROBRAS 69,115635.501501878,5597.40168966666,150842.094623561,7,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,NA
FPSO CIDADE DE MANGARATIBA,100983.436280453,5591.243099,136151.293036975,7,Tupi,2021-04-01,NA
FPSO CIDADE DE SAQUAREMA,128797.450869988,5581.01386533333,163900.967690301,7,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,NA
PETROBRAS 67 (P-67),125416.898218009,5520.574485,160140.262819507,6,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,NA
PETROBRAS 75 (P-75),148397.755854807,5505.68099233333,183027.443217195,4,Búzios/Tambuatá,2021-04-01,NA
PETROBRAS 66 (P-66),100868.006848852,5051.597814,132641.597295327,7,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,NA
FPSO CIDADE DE MARICÁ,137471.667121259,4989.79295166667,168856.516726582,7,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,NA
FPSO CIDADE DE ITAGUAÍ,97014.8617915233,4977.83072766667,128324.471280708,6,Tupi,2021-04-01,NA
PLATAFORMA DE MEXILHÃO,3168.33454225,4764.94399866667,33138.9269545036,7,Mexilhão,2021-04-01,NA
FPSO CIDADE DE PARATY,98837.3502885218,4660.06169333333,128148.252927867,5,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,NA
FPSO CIDADE DE SÃO PAULO,88921.3898720493,4607.22329166666,117899.949004207,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-04-01,NA
PLATAFORMA DE MANATI 1,240.044937821,3150.90472366667,20058.6369777868,6,Manati,2021-04-01,NA
PETROBRAS 70,84687.6220426409,2753.58461033333,102007.146060562,2,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-04-01,NA
PETROBRAS 58,83223.2541094167,2649.78677966667,99889.9094940319,12,Baleia Anã/Jubarte,2021-04-01,NA
PETROBRAS 68,105875.520328739,2620.24173366667,122356.342987573,5,Berbigão/Sururu,2021-04-01,NA
FPSO PIONEIRO DE LIBRA,39674.5383725619,2568.94013966667,55832.6837524387,1,Mero,2021-04-01,NA
PETROBRAS 62,24186.4244397467,2406.40122966667,39322.2309581164,12,Roncador,2021-04-01,NA
FPSO CIDADE DE ANGRA DOS REIS,54974.9933814842,2264.289327,69216.943033342,4,Anc_Tupi/Sul De Tupi/Tupi,2021-04-01,NA
FPSO CIDADE DE CARAGUATATUBA,53141.6255762433,1953.357527,65427.8732831432,4,Lapa,2021-04-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1639.430170766,1580.50753866667,11580.522292547,7,Leste Do Urucu,2021-04-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2115.449281376,1575.13990533333,12022.7800093406,9,Leste Do Urucu,2021-04-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1419.86317702233,1202.218745,8981.59066151078,4,Leste Do Urucu,2021-04-01,NA
PETROBRAS 40,48338.7539160867,1200.87172866667,55892.0089237716,13,Marlim/Marlim Sul,2021-04-01,NA
PETROBRAS 52,60151.83057818,1117.64311133333,67181.5933962755,13,Roncador,2021-04-01,NA
FPSO CIDADE DE ANCHIETA,29174.8517847133,1091.40374066667,36039.5739467959,6,Jubarte,2021-04-01,NA
POLO ARARA,6817.64111613935,6947.94565451613,50518.8991733714,29,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-05-01,NA
FPSO CIDADE DE ITAGUAÍ,121229.678230713,6320.46688322581,160984.214037495,6,Tupi,2021-05-01,NA
PETROBRAS 74,139956.753598645,5762.04188774193,176198.902284583,5,Búzios/Tambuatá,2021-05-01,NA
FPSO CIDADE DE SAQUAREMA,131330.056792195,5751.86194677419,167508.175583635,7,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,NA
FPSO CIDADE DE ILHA BELA,124780.015593811,5659.28519516129,160375.844207188,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-05-01,NA
PETROBRAS 67,128624.661552545,5640.85775741935,164104.585083739,6,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,NA
PETROBRAS 77,143075.424004032,5622.63685354839,178440.741511849,5,Búzios/Tambuatá,2021-05-01,NA
PETROBRAS 76,141251.531276855,5604.12883032258,176500.436835106,4,Búzios/Tambuatá,2021-05-01,NA
PLATAFORMA DE MEXILHÃO,3469.47339879677,5384.0129983871,37333.8921961819,7,Mexilhão,2021-05-01,NA
PETROBRAS 69,111005.78377289,5294.47357387097,144307.016602559,7,Anc_Tupi/Sul De Tupi/Tupi,2021-05-01,NA
FPSO CIDADE DE MARICÁ,141669.417045785,5222.8508583871,174520.156603376,7,Anc_Tupi/Sul De Tupi/Tupi,2021-05-01,NA
PETROBRAS 75,138394.29175169,5067.67399225806,170268.998304935,4,Búzios/Tambuatá,2021-05-01,NA
FPSO CIDADE DE MANGARATIBA,86689.7100902226,4845.30319290323,117165.746565977,8,Tupi,2021-05-01,NA
FPSO CIDADE DE PARATY,102242.950604885,4798.9149116129,132427.213605097,7,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,NA
PETROBRAS 66 (P-66),97322.4544591171,4615.86014645161,126355.33776687,7,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,NA
FPSO CIDADE DE SÃO PAULO,87420.8473944075,4560.99236064516,116108.622754317,7,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-05-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,28.6784394192742,4161.33748709677,26202.7005791354,27,Gavião Branco/Gavião Caboclo,2021-05-01,NA
PLATAFORMA DE MANATI 1,299.656896151935,3663.44110709677,23342.0054059803,6,Manati,2021-05-01,NA
PETROBRAS 70,92330.1616437826,2978.28397483871,111063.001971563,2,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-05-01,NA
PETROBRAS 62,25693.5492146452,2958.64795612903,44302.8827155851,12,Roncador,2021-05-01,NA
PETROBRAS 58,82655.4645066709,2612.87336548387,99089.9415296251,12,Baleia Anã/Jubarte,2021-05-01,NA
PETROBRAS 68,101670.675892154,2400.75896322581,116770.993626641,5,Berbigão/Sururu,2021-05-01,NA
FPSO CIDADE DE CARAGUATATUBA,54034.7635142258,1844.46370032258,65636.0897411518,4,Lapa,2021-05-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,12.6095716694258,1688.36640129032,10632.1134461693,14,Gavião Azul/Gavião Real/Gavião Vermelho,2021-05-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2120.37266058806,1596.00502129032,12158.9410035502,9,Leste do Urucu,2021-05-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1618.12869442581,1544.32815419355,11331.6593619539,7,Leste do Urucu,2021-05-01,NA
FPSO PIONEIRO DE LIBRA,21191.0433521305,1375.91655451613,29845.2970558916,1,Mero,2021-05-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1349.78429852774,1250.7564483871,9216.80471515739,4,Leste do Urucu,2021-05-01,NA
FPSO CIDADE DE ANGRA DOS REIS,29544.0365442746,1203.81935967742,37115.8315909672,5,Anc_Tupi/Sul de Tupi/Tupi,2021-05-01,NA
PETROBRAS 52,63153.5190392451,1163.68573451613,70472.881209062,15,Roncador,2021-05-01,NA
POLO ARARA,6738.172187059,6863.36244266667,49907.4179125682,29,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-06-01,NA
FPSO CIDADE DE ITAGUAÍ,125074.861526563,6584.35007766667,166489.172488572,6,Tupi,2021-06-01,NA
FPSO CIDADE DE MANGARATIBA,112400.045252213,6476.889045,153138.446736345,8,Tupi,2021-06-01,NA
FPSO CIDADE DE SAQUAREMA,129230.332060911,5696.99272066667,165063.333845287,7,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,NA
PETROBRAS 74,136850.079822267,5662.20298366667,172464.260770963,5,Búzios/Tambuatá,2021-06-01,NA
FPSO CIDADE DE ILHA BELA,126066.998521433,5633.53891766666,161500.887941162,9,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,2021-06-01,NA
PETROBRAS 67,128382.086353339,5566.27905133333,163392.923993206,7,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,NA
PETROBRAS 75,156415.56745271,5519.15452966667,191130.000804953,4,Búzios/Tambuatá,2021-06-01,NA
PETROBRAS 77,134830.53085464,5357.39592133333,168527.533294602,5,Búzios/Tambuatá,2021-06-01,NA
PLATAFORMA DE MEXILHÃO,3463.6054794933402,5235.21459833333,36392.1106122363,7,Mexilhão,2021-06-01,NA
FPSO CIDADE DE MARICÁ,140662.248551654,5217.022689,173476.330031153,7,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,NA
PETROBRAS 76,127291.027858187,5097.470858,159353.151035544,4,Búzios/Tambuatá,2021-06-01,NA
PETROBRAS 66 (P-66),101112.590161339,4948.83632533334,132239.830368784,8,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,NA
FPSO CIDADE DE SÃO PAULO,87137.1487766723,4752.96339666667,117032.38547866,7,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,2021-06-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,43.07589587101,4605.30420166667,29009.564316556,27,Gavião Branco/Gavião Caboclo,2021-06-01,NA
FPSO CIDADE DE PARATY,99397.2562554521,4602.36216033333,128345.239795138,7,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,NA
PETROBRAS 69,97994.8802597842,4559.76170033333,126674.915000158,6,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,NA
PETROBRAS 70,112025.977072265,3854.01455233333,136266.996343676,3,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-06-01,NA
PLATAFORMA DE MANATI 1,309.496810180667,3635.90231133333,23178.6315270282,6,Manati,2021-06-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,37.4402994921267,2658.57888766667,16759.3963729268,14,Gavião Azul/Gavião Real/Gavião Vermelho,2021-06-01,NA
FPSO PIONEIRO DE LIBRA,40388.3416305559,2631.02147233333,56936.9667974528,1,Mero,2021-06-01,NA
PETROBRAS 68,98667.7503484172,2323.07602866667,113279.457184285,6,Berbigão/Sururu,2021-06-01,NA
FPSO CIDADE DE CARAGUATATUBA,55945.79060251,1921.85244066667,68033.8773023396,4,Lapa,2021-06-01,NA
PETROBRAS 62,16018.2171949333,1843.75245966667,27615.0698532693,12,Roncador,2021-06-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2124.590262249,1629.798878,12375.7155430822,10,Leste do Urucu,2021-06-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1596.18500143167,1606.93394733333,11703.4942127083,7,Leste do Urucu,2021-06-01,NA
FPSO CIDADE DE ANGRA DOS REIS,37555.721013244,1505.430741,47024.5943422932,5,Anc_Tupi/Sul de Tupi/Tupi,2021-06-01,NA
FPSO CIDADE DE ANCHIETA,32938.69715135,1195.11810733333,40455.7629740363,6,Jubarte,2021-06-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1213.749038567,1093.80107566667,8093.54998230595,4,Leste do Urucu,2021-06-01,NA
PETROBRAS 53,63931.5807777033,1036.172823,70448.910961537,10,Marlim Leste,2021-06-01,NA
POLO ARARA,6700.69711357452,6911.57057967742,50173.1628613354,29,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-07-01,NA
FPSO CIDADE DE ITAGUAÍ,125691.296114055,6594.92290580645,167172.108156225,7,Tupi,2021-07-01,NA
FPSO CIDADE DE MANGARATIBA,113688.758065671,6384.24350483871,153844.436704841,8,Tupi,2021-07-01,NA
PETROBRAS 77,142364.464461052,5741.29821806451,178476.139406016,5,Búzios/Tambuatá,2021-07-01,NA
FPSO CIDADE DE ILHA BELA,132073.867529911,5712.01771612903,168001.373680996,9,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,2021-07-01,NA
PETROBRAS 75,155445.71506929,5711.18760354839,191367.999969965,4,Búzios/Tambuatá,2021-07-01,NA
PETROBRAS 76,141598.623282364,5664.84534870967,177229.424205132,4,Búzios/Tambuatá,2021-07-01,NA
PETROBRAS 74,133916.296014697,5473.89220806451,168346.037963903,5,Búzios/Tambuatá,2021-07-01,NA
PETROBRAS 67,140069.038345323,5423.5529883871,174182.15616721,7,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,NA
FPSO CIDADE DE MARICÁ,139983.152016432,5247.22623,172987.208030148,7,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,NA
PETROBRAS 69,110193.986931345,5238.72736709678,143144.586712184,7,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,NA
PETROBRAS 66,103492.823401982,5195.77899193548,136173.286063248,8,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,NA
PLATAFORMA DE MEXILHÃO,3526.79994451935,5165.35644806451,36015.91058512,7,Mexilhão,2021-07-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,42.4584047307032,4913.30318419355,30946.2019057031,27,Gavião Branco/Gavião Caboclo,2021-07-01,NA
PETROBRAS 70,142817.062100658,4838.35451322581,173249.392701491,4,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-07-01,NA
FPSO CIDADE DE PARATY,102541.83875843,4669.99095258065,131915.194551881,5,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,NA
FPSO CIDADE DE SÃO PAULO,83412.7695589913,4555.03741741935,112063.08945745,6,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,2021-07-01,NA
FPSO CIDADE DE SAQUAREMA,87314.5313487267,3824.73411064516,111371.382205204,7,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,NA
PLATAFORMA DE MANATI 1,283.618083549032,3161.95482967742,20171.7131908024,6,Manati,2021-07-01,NA
PETROBRAS 68,102590.716843534,2548.65514129032,118621.273437773,6,Berbigão/Sururu,2021-07-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,31.8160604135,2507.26039129032,15802.0075421553,14,Gavião Azul/Gavião Real/Gavião Vermelho,2021-07-01,NA
PETROBRAS 58,70714.5523934903,2307.36166451613,85227.4188645805,12,Baleia Anã/Jubarte,2021-07-01,NA
FPSO CIDADE DE ANGRA DOS REIS,52007.1962596133,2199.18701935484,65839.6647658216,5,Anc_Tupi/Sul de Tupi/Tupi,2021-07-01,NA
FPSO CIDADE DE CARAGUATATUBA,55832.4196178193,2074.62160870968,68881.3953584976,4,Lapa,2021-07-01,NA
PETROBRAS 62,21107.7400473387,2029.10671612903,33870.4357615143,12,Roncador,2021-07-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2128.3901393671,1779.03163387097,13318.161100405,10,Leste do Urucu,2021-07-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1655.09045854516,1623.93885387097,11869.3573010113,7,Leste do Urucu,2021-07-01,NA
FPSO PIONEIRO DE LIBRA,24518.0302722681,1604.74740032258,34611.5865182911,1,Mero,2021-07-01,NA
FPSO CIDADE DE ANCHIETA,33191.8366417129,1202.42532741935,40754.8634903684,6,Jubarte,2021-07-01,NA
PETROBRAS 53,65911.3105813968,1172.00679580645,73283.0106457281,10,Marlim Leste,2021-07-01,NA
POLO ARARA,6513.16399365936,6799.63772483871,49281.5933517271,29,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Leste Do Urucu,2021-08-01,NA
FPSO CIDADE DE MANGARATIBA,112415.140525684,6571.30537290323,153747.402773224,8,Anc_Tupi,2021-08-01,NA
FPSO CIDADE DE ITAGUAÍ,126237.732488174,6428.49578,166671.749530176,7,Tupi,2021-08-01,NA
PETROBRAS 77,155501.006557132,6421.42392290322,195890.542961648,5,Búzios/Manati,2021-08-01,NA
PETROBRAS 75 (P-75),154355.402882413,5873.45631806451,191298.327166338,4,Búzios/Búzios,2021-08-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,41.9538767519226,5863.33778193548,36921.2344909476,27,Gavião Branco/Jubarte,2021-08-01,NA
PETROBRAS 76,141218.694410713,5648.43873193548,176746.300831228,4,Búzios/Búzios,2021-08-01,NA
FPSO CIDADE DE SAQUAREMA,125258.516066929,5577.81785935484,160341.930616878,7,Anc_Tupi/Sul De Tupi/Nordeste De Sapinhoá,2021-08-01,NA
PETROBRAS 66 (P-66),117007.125395692,5482.2616483871,151489.509534334,8,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-08-01,NA
PETROBRAS 67 (P-67),145254.402297989,5459.93356903226,179596.347059823,7,Anc_Tupi/Sul De Tupi/Berbigão,2021-08-01,NA
PETROBRAS 70,159200.10776521,5343.97677806452,192812.706343648,4,Anc_Norte_Atapu/Atapu/Búzios,2021-08-01,NA
FPSO CIDADE DE ILHA BELA,124477.601309882,5334.75361096774,158032.187919683,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Tupi,2021-08-01,NA
FPSO CIDADE DE MARICÁ,138535.956052763,5267.74959387097,171669.100125788,7,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-08-01,NA
PLATAFORMA DE MEXILHÃO,3122.20690178387,4821.68006258065,33449.6583762042,7,Arara Azul,2021-08-01,NA
FPSO CIDADE DE SÃO PAULO,91243.8790277396,4801.04468677419,121441.537909059,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Marlim Leste,2021-08-01,NA
FPSO CIDADE DE PARATY,103786.129489151,4663.50667709677,133118.700421821,7,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-08-01,NA
