Nº,Poço,Campo,Bacia,Localização,Operador,Produção (boe/d),mes
28,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,31985.1540805079,2021-06-01
29,7-LL-66-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,31969.7820595229,2021-06-01
30,9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,NA,31863.848989349,2021-06-01
1,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,67280.0709019143,2021-07-01
2,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,64867.2730339321,2021-07-01
3,9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,NA,63283.8891261791,2021-07-01
4,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,56362.5475574998,2021-07-01
5,7-BUZ-23-RJS,Búzios/Tambuatá,Santos,Mar,NA,56251.086238255,2021-07-01
6,7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,NA,56228.3595214034,2021-07-01
7,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,49893.2576972667,2021-07-01
8,7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,NA,48415.8359684548,2021-07-01
9,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,45077.9997205557,2021-07-01
10,3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,NA,43897.9700774587,2021-07-01
11,7-LL-27-RJS,Tupi,Santos,Mar,NA,42608.360525113,2021-07-01
12,7-LL-15D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,41294.8948596611,2021-07-01
13,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,40741.6371602201,2021-07-01
14,7-SPH-20D-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,NA,38877.5928080136,2021-07-01
15,1-BRSA-1146-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,NA,38849.113286879,2021-07-01
16,3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,NA,37157.2789310591,2021-07-01
17,9-LL-20D-RJS,Tupi,Santos,Mar,NA,35771.593121394,2021-07-01
18,9-LL-12D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,35734.6912545266,2021-07-01
19,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,34611.5865182911,2021-07-01
20,9-BUZ-1-RJS,Búzios/Tambuatá,Santos,Mar,NA,34463.2350799208,2021-07-01
21,7-BUZ-36DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,34331.8026988601,2021-07-01
22,8-LL-87D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,34103.5886582885,2021-07-01
23,7-SPH-22-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,NA,33780.6918312814,2021-07-01
24,7-LL-119D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,33582.717927054,2021-07-01
25,7-SRR-2-RJS,Sururu,Santos,Mar,NA,33341.1180487814,2021-07-01
26,7-LL-84D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,32517.3852803049,2021-07-01
27,7-LL-103D-RJS,Tupi,Santos,Mar,NA,32402.0958142895,2021-07-01
28,7-LL-36A-RJS,Tupi,Santos,Mar,NA,32100.5023667974,2021-07-01
29,7-LL-61-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,32087.800259849,2021-07-01
30,7-LL-66-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,31920.1935136642,2021-07-01
1,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,65184.7075038503,2021-08-01
2,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,62640.8286664921,2021-08-01
3,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,61602.7058980916,2021-08-01
4,7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,61316.3870330267,2021-08-01
5,7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,NA,60921.0495796183,2021-08-01
6,9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,58518.5237626648,2021-08-01
7,7-BUZ-23-RJS,Búzios/Tambuatá,Santos,Mar,NA,56721.4692449052,2021-08-01
8,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,47122.6302760818,2021-08-01
9,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,39937.5516703724,2021-08-01
10,7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,39852.5261060382,2021-08-01
11,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,39444.0168104968,2021-08-01
12,7-BUZ-36DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,38464.3169077889,2021-08-01
13,9-LL-20D-RJS,Tupi,Santos,Mar,NA,37938.2572557669,2021-08-01
14,3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,NA,37326.469934297,2021-08-01
15,3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,37104.8135441249,2021-08-01
16,1-BRSA-1146-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,35872.9820038319,2021-08-01
17,9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,35242.5092678549,2021-08-01
18,3-BRSA-1184-RJS,Búzios/Tambuatá,Santos,Mar,NA,34900.8559535167,2021-08-01
19,9-BUZ-1-RJS,Búzios/Tambuatá,Santos,Mar,NA,34791.1065825839,2021-08-01
20,7-LL-51-RJS,Tupi,Santos,Mar,NA,34609.384954937,2021-08-01
21,7-SPH-22-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,34423.8915128693,2021-08-01
22,7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,NA,33798.7532357674,2021-08-01
23,7-LL-103D-RJS,Tupi,Santos,Mar,NA,33795.7718719143,2021-08-01
24,8-LL-87D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,33782.6788228399,2021-08-01
25,7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,33642.841942875,2021-08-01
26,7-SRR-2-RJS,Sururu,Santos,Mar,NA,33370.895502644,2021-08-01
27,7-LL-27-RJS,Tupi,Santos,Mar,NA,33023.4492732959,2021-08-01
28,9-LL-2-RJS,Tupi,Santos,Mar,NA,32582.7748836103,2021-08-01
29,7-LL-84D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,32215.6806147692,2021-08-01
30,7-LL-61-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,32006.5501661411,2021-08-01
1,7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,67496.4811732547,2021-09-01
2,7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,63129.7700914483,2021-09-01
3,7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,62104.0595374552,2021-09-01
4,9-BUZ-3-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,58098.7796357572,2021-09-01
5,9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,58074.4527682466,2021-09-01
6,9-BRSA-1254-RJS,Sépia/Sépia Leste,Santos,Mar,NA,57320.2238006658,2021-09-01
7,7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,57025.259258937,2021-09-01
8,9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,56800.1347840615,2021-09-01
9,7-BUZ-31D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,56639.1671993442,2021-09-01
10,7-BUZ-24D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,52747.9373068237,2021-09-01
11,7-BUZ-14DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,47130.0219235001,2021-09-01
12,7-LL-27-RJS,Tupi,Santos,Mar,NA,39587.0481344111,2021-09-01
13,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,39185.4169859967,2021-09-01
14,7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,39179.5085565294,2021-09-01
15,7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,38362.7503087308,2021-09-01
16,3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,37669.8288719007,2021-09-01
17,1-BRSA-1146-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,36568.900761222,2021-09-01
18,7-SPH-22-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,36555.1658016654,2021-09-01
19,9-LL-20D-RJS,Tupi,Santos,Mar,NA,35559.502860913,2021-09-01
20,9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,35090.7651048208,2021-09-01
21,7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,33792.9048398313,2021-09-01
22,7-BUZ-36DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,33692.9690112418,2021-09-01
23,8-LL-87D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,33658.4681789754,2021-09-01
24,7-SRR-2-RJS,Sururu,Santos,Mar,NA,33411.0473969176,2021-09-01
25,7-LL-84D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,32066.5442596467,2021-09-01
26,7-LL-80DB-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,32065.3997008244,2021-09-01
27,7-LL-61-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,31811.1486421661,2021-09-01
28,3-BRSA-1184-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,31717.7615121562,2021-09-01
29,7-LL-66-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,31701.0063913047,2021-09-01
30,3-BRSA-1064-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,31465.9161213218,2021-09-01
1,7-BUZ-12-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,63378.2057482819,2021-10-01
2,7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,61158.3600854399,2021-10-01
3,9-BRSA-1254-RJS,Sépia/Sépia Leste,Santos,Mar,NA,57970.7260098952,2021-10-01
4,9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,57517.3882361721,2021-10-01
5,7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,55435.8829776419,2021-10-01
6,9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,54119.7765111139,2021-10-01
7,7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,49809.8927482789,2021-10-01
8,7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,48710.3912930484,2021-10-01
9,9-BUZ-3-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,48224.194878267,2021-10-01
10,7-BUZ-14DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,47336.4847615823,2021-10-01
11,7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,45388.5366732345,2021-10-01
12,7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,37919.9324421541,2021-10-01
13,3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,36682.4859702133,2021-10-01
14,1-BRSA-1146-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,36498.5784956213,2021-10-01
15,7-SPH-22-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,36001.9540120887,2021-10-01
16,9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,35265.5385063068,2021-10-01
17,9-LL-20D-RJS,Tupi,Santos,Mar,NA,34639.129466427,2021-10-01
18,7-SRR-2-RJS,Sururu,Santos,Mar,NA,34321.415434744,2021-10-01
19,7-LL-103D-RJS,Tupi,Santos,Mar,NA,34293.2089745513,2021-10-01
20,7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,33886.4603530596,2021-10-01
21,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,33603.9503717149,2021-10-01
22,8-LL-87D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,33466.5453149034,2021-10-01
23,7-LL-36A-RJS,Tupi,Santos,Mar,NA,32591.5240620735,2021-10-01
24,7-LL-80DB-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,31486.3022660956,2021-10-01
25,7-LL-84D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,31395.5387820094,2021-10-01
26,7-LL-66-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,31336.2536543799,2021-10-01
27,7-LL-61-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,31234.0764010698,2021-10-01
28,9-BUZ-7-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,31211.9755162552,2021-10-01
29,7-SLL-2-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,30425.5250324997,2021-10-01
30,7-LL-51-RJS,Tupi,Santos,Mar,NA,29854.2751225697,2021-10-01
1,7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,64954.2490582025,2021-12-01
2,7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,61038.139444906,2021-12-01
3,7-BUZ-24D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,59040.9566331399,2021-12-01
4,9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,58323.4375609326,2021-12-01
5,7-BUZ-31D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,56479.3572523314,2021-12-01
6,7-BUZ-12-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,55942.3137172802,2021-12-01
7,9-BUZ-3-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,55347.4810534446,2021-12-01
8,9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,48944.0843972559,2021-12-01
9,9-BRSA-1191-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,46105.060468226,2021-12-01
10,7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,44274.6550830803,2021-12-01
11,9-BUZ-7-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,42031.4853824497,2021-12-01
12,3-BRSA-1322-RJS,Mero,Santos,Mar,NA,41383.8733788571,2021-12-01
13,7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,41305.4219645142,2021-12-01
14,7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,39849.5418366987,2021-12-01
15,7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,39510.057354355,2021-12-01
16,3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,37890.2110852808,2021-12-01
17,7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,37744.4975952534,2021-12-01
18,3-BRSA-1064-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,35357.5821939727,2021-12-01
19,9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,35160.0823851885,2021-12-01
20,1-BRSA-1146-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,35125.3826294974,2021-12-01
21,7-SLL-5-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,34305.4461955556,2021-12-01
22,9-LL-20D-RJS,Tupi/Tupi/Tupi,NA,NA,NA,34193.8274687431,2021-12-01
23,9-BUZ-1-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,34082.4414649007,2021-12-01
24,7-LL-103D-RJS,Tupi,Santos,Mar,NA,33897.9782186391,2021-12-01
25,7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,33796.3408846484,2021-12-01
26,7-BUZ-29D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,33416.6938188034,2021-12-01
27,7-LL-27-RJS,Tupi,Santos,Mar,NA,33381.0005855938,2021-12-01
28,7-LL-36A-RJS,Tupi,Santos,Mar,NA,33044.6502120957,2021-12-01
29,9-BRSA-1254-RJS,Sépia/Sépia Leste,Santos,Mar,NA,32745.6616549226,2021-12-01
30,7-LL-83D-RJS,Tupi,Santos,Mar,NA,32653.9945726738,2021-12-01
1,7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,64935.8715346968,2021-11-01
2,7-BUZ-12-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,63903.908903274,2021-11-01
3,7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,63031.1262317648,2021-11-01
4,7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,57463.2267382618,2021-11-01
5,9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,56466.3029065545,2021-11-01
6,9-BUZ-3-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,54634.0366105797,2021-11-01
7,7-BUZ-14DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,54500.3764519277,2021-11-01
8,7-BUZ-31D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,54163.8390021662,2021-11-01
9,9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,51912.1373909647,2021-11-01
10,9-BRSA-1254-RJS,Sépia/Sépia Leste,Santos,Mar,NA,49337.3275586671,2021-11-01
11,7-BUZ-24D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,49221.2266206599,2021-11-01
12,7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,48738.5121624536,2021-11-01
13,9-BRSA-1191-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,38358.5638111948,2021-11-01
14,3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,37696.6830815131,2021-11-01
15,7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,36776.9038281607,2021-11-01
16,1-BRSA-1146-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,35195.1698140629,2021-11-01
17,9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,34759.8974113964,2021-11-01
18,3-BRSA-1064-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,34382.0406230992,2021-11-01
19,7-LL-83D-RJS,Tupi,Santos,Mar,NA,34238.9344068231,2021-11-01
20,7-LL-103D-RJS,Tupi,Santos,Mar,NA,34179.8090103388,2021-11-01
21,7-SRR-2-RJS,Sururu,Santos,Mar,NA,33706.0304474606,2021-11-01
22,7-SPH-22-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,NA,33700.6515675803,2021-11-01
23,7-LL-36A-RJS,Tupi,Santos,Mar,NA,33589.4089060729,2021-11-01
24,7-LL-27-RJS,Tupi,Santos,Mar,NA,33146.6562252609,2021-11-01
25,9-LL-20D-RJS,Tupi,Santos,Mar,NA,32867.3934855452,2021-11-01
26,7-LL-84D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,32414.9412614764,2021-11-01
27,7-LL-61-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,31847.669082105,2021-11-01
28,7-LL-80DB-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,31742.5379102909,2021-11-01
29,7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,31477.3737985596,2021-11-01
30,9-BUZ-1-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,31356.1044502944,2021-11-01
1,7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,NA,62470.4247172359,2021-02-01
2,9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,NA,61197.8833397545,2021-02-01
3,7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,NA,56807.4347519242,2021-02-01
4,7-BUZ-23-RJS,Búzios/Tambuatá,Santos,Mar,NA,54201.8437844007,2021-02-01
5,7-BUZ-12-RJS,Búzios/Tambuatá,Santos,Mar,NA,52568.8599006294,2021-02-01
6,7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,NA,51045.2151850781,2021-02-01
7,9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,NA,50939.6695001089,2021-02-01
8,3-BRSA-1305A-RJS,Mero,Santos,Mar,NA,50040.6967165956,2021-02-01
9,9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,NA,43690.1257772228,2021-02-01
10,7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,NA,40833.4611438083,2021-02-01
11,7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,NA,40242.1475897548,2021-02-01
12,9-LL-20D-RJS,Tupi,Santos,Mar,NA,37573.3397771241,2021-02-01
13,7-SPH-20D-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,NA,36990.4989969929,2021-02-01
14,7-LL-36A-RJS,Tupi,Santos,Mar,NA,35460.2594875402,2021-02-01
15,7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,NA,34990.4515912615,2021-02-01
16,7-SPH-22-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,NA,34980.5868801399,2021-02-01
17,7-LL-103D-RJS,Tupi,Santos,Mar,NA,34940.071729455,2021-02-01
18,7-SRR-2-RJS,Sururu,Santos,Mar,NA,34893.1224670505,2021-02-01
19,9-BUZ-7-RJS,Búzios/Tambuatá,Santos,Mar,NA,34889.2570912713,2021-02-01
20,7-SLL-5-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,34013.7995419302,2021-02-01
21,9-BUZ-1-RJS,Búzios/Tambuatá,Santos,Mar,NA,33800.5598963716,2021-02-01
22,3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,NA,33671.841670789,2021-02-01
23,7-SLL-2-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,33415.7251834258,2021-02-01
24,3-BRSA-1184-RJS,Búzios/Tambuatá,Santos,Mar,NA,32942.6536305343,2021-02-01
25,7-LL-80DB-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,NA,32876.8261593521,2021-02-01
26,7-SPH-17-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,NA,31654.1901314254,2021-02-01
27,7-LL-27-RJS,Tupi,Santos,Mar,NA,31226.3008536005,2021-02-01
28,3-BRSA-1184-RJS,Búzios/Tambuatá,Santos,Mar,NA,30315.5940858391,2021-02-01
29,7-LL-80DB-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,NA,29562.5929686915,2021-02-01
30,7-SPH-17-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,NA,29482.3906466782,2021-02-01
1,7-BUZ-24D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,66710.76003064,2022-04-01
2,3-BRSA-1322-RJS,Anc_Mero/Mero,Santos,Mar,NA,65337.8722220283,2022-04-01
3,7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,NA,64188.9338574371,2022-04-01
4,7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,61713.7592720955,2022-04-01
5,7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,58442.4101084489,2022-04-01
6,7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,57388.902594575,2022-04-01
7,9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,NA,57289.105477262,2022-04-01
8,9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,56366.7236284245,2022-04-01
9,9-BRSA-1254-RJS,Sépia/Sépia Leste,Santos,Mar,NA,55741.9851178491,2022-04-01
10,7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,50675.6472319488,2022-04-01
11,3-BRSA-1201-RJS,Sépia/Sépia Leste,Santos,Mar,NA,47913.687101244,2022-04-01
12,7-SEP-6-RJS,Sépia/Sépia Leste,Santos,Mar,NA,42082.2922161482,2022-04-01
13,3-BRSA-1064-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,39501.4446358898,2022-04-01
14,7-BUZ-12-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,39012.1171783762,2022-04-01
15,9-BUZ-7-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,38972.6552144437,2022-04-01
16,7-SPH-20D-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,NA,38211.4082865252,2022-04-01
17,3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,NA,36761.4040862939,2022-04-01
18,7-BUZ-14DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,NA,35797.3919747429,2022-04-01
