Campos,Operador,Bacia,Ambiente,Dada de início da interrupção,Data do fim da interrupção,mes
CAIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
CAMORIM,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
CIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
GUARICEMA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
ABALONE,SHELL,Campos,MAR,2020-03-01T00:00:00Z,2020-08-01,2020-12-01
GAROUPA,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
CHERNE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
NAMORADO,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
BAGRE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
BARRACUDA,Petrobras,Campos,MAR,2020-04-07T00:00:00Z,2020-04-26,2020-12-01
CARATINGA,Petrobras,Campos,MAR,2020-04-04T00:00:00Z,2020-04-26,2020-12-01
ATUM,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
XARÉU,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
CURIMÃ,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
ESPADA,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
OESTE DE UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
AGULHA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-12-01
AGUILHADA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
ANGELIM,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
ARUARI,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
ATALAIA SUL,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
BREJO GRANDE,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
ILHA PEQUENA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
BARRINHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
BARRINHA LESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
BARRINHA SUDOESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
POÇO VERDE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,2020-09-01,2020-12-01
SERRA DO MEL,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
SERRA VERMELHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
VALE DO QUIRICÓ,Energizzi,Recôncavo,TERRA,2020-03-26T00:00:00Z,2020-07-03,2020-12-01
LAGOA DO PAULO SUL,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
JURITI,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-12-01
BREJINHO,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2020-12-01
CANABRAVA,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2020-12-01
MANATI,Petrobras,Camamu,MAR,2020-02-22T00:00:00Z,2020-05-23,2020-12-01
PEROÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,2020-05-27,2020-12-01
CANGOÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,2020-05-27,2020-12-01
MERLUZA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2020-12-01
LAGOSTA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2020-12-01
RIO SUMAÚBA,Petrobras,Recôncavo,TERRA,2020-05-11T00:00:00Z,NA,2020-12-01
RIACHO VELHO,Leros Petróleo e Gás,Potiguar,TERRA,2020-12-07T00:00:00Z,NA,2020-12-01
CAIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
CAMORIM,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
CIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
GUARICEMA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
ABALONE,SHELL,Campos,MAR,2020-03-01T00:00:00Z,2020-08-01,2020-10-01
GAROUPA,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
CHERNE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
NAMORADO,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
BAGRE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
BARRACUDA,Petrobras,Campos,MAR,2020-04-07T00:00:00Z,2020-04-26,2020-10-01
CARATINGA,Petrobras,Campos,MAR,2020-04-04T00:00:00Z,2020-04-26,2020-10-01
ATUM,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
XARÉU,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
CURIMÃ,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
ESPADA,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
OESTE DE UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
AGULHA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2020-10-01
AGUILHADA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
ANGELIM,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
ARUARI,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
ATALAIA SUL,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
BREJO GRANDE,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
ILHA PEQUENA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
BARRINHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
BARRINHA LESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
BARRINHA SUDOESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
POÇO VERDE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,2020-09-01,2020-10-01
SERRA DO MEL,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
SERRA VERMELHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
VALE DO QUIRICÓ,Energizzi,Recôncavo,TERRA,2020-03-26T00:00:00Z,2020-07-03,2020-10-01
LAGOA DO PAULO SUL,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
JURITI,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2020-10-01
BREJINHO,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2020-10-01
CANABRAVA,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2020-10-01
MANATI,Petrobras,Camamu,MAR,2020-02-22T00:00:00Z,2020-05-23,2020-10-01
PEROÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,2020-05-27,2020-10-01
CANGOÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,2020-05-27,2020-10-01
MERLUZA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2020-10-01
LAGOSTA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2020-10-01
RIO SUMAÚBA,Petrobras,Recôncavo,TERRA,2020-05-11T00:00:00Z,NA,2020-10-01
CAIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
CAMORIM,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
CIOBA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
GUARICEMA,Petrobras,Sergipe,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
ABALONE,SHELL,Campos,MAR,2020-03-01T00:00:00Z,2020-08-01,2021-02-01
GAROUPA,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
CHERNE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
NAMORADO,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
BAGRE,Petrobras,Campos,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
BARRACUDA,Petrobras,Campos,MAR,2020-04-07T00:00:00Z,2020-04-26,2021-02-01
CARATINGA,Petrobras,Campos,MAR,2020-04-04T00:00:00Z,2020-04-26,2021-02-01
ATUM,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
XARÉU,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
CURIMÃ,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
ESPADA,Petrobras,Ceará,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
OESTE DE UBARANA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
AGULHA,Petrobras,Potiguar,MAR,2020-03-26T00:00:00Z,NA,2021-02-01
AGUILHADA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
ANGELIM,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
ARUARI,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
ATALAIA SUL,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
BREJO GRANDE,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
ILHA PEQUENA,Petrobras,Sergipe,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
BARRINHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
BARRINHA LESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
BARRINHA SUDOESTE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
POÇO VERDE,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,2020-09-01,2021-02-01
SERRA DO MEL,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
SERRA VERMELHA,Petrobras,Potiguar,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
VALE DO QUIRICÓ,Energizzi,Recôncavo,TERRA,2020-03-26T00:00:00Z,2020-07-03,2021-02-01
LAGOA DO PAULO SUL,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
JURITI,Recôncavo E&P,Recôncavo,TERRA,2020-03-26T00:00:00Z,NA,2021-02-01
BREJINHO,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2021-02-01
CANABRAVA,Petrobras,Recôncavo,TERRA,2020-04-16T00:00:00Z,NA,2021-02-01
MANATI,Petrobras,Camamu,MAR,2020-02-22T00:00:00Z,2020-05-23,2021-02-01
PEROÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,2020-05-27,2021-02-01
CANGOÁ,Petrobras,Espírito Santo,MAR,2020-04-03T00:00:00Z,2020-05-27,2021-02-01
MERLUZA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2021-02-01
LAGOSTA,Petrobras,Santos,MAR,2020-03-27T00:00:00Z,NA,2021-02-01
RIO SUMAÚBA,Petrobras,Recôncavo,TERRA,2020-05-11T00:00:00Z,NA,2021-02-01
RIACHO VELHO,Leros Petróleo e Gás,Potiguar,TERRA,2020-12-07T00:00:00Z,NA,2021-02-01
