Concessionário,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d),mes
Imetame,144.907550295397,129.057307741935,956.6534951037,2022-03-01
Seacrest SPE Cicaré,884.62405792971,4.76534516129032,914.597173578645,2022-03-01
SHB,695.249273530665,9.86048387096774,757.269843587116,2022-03-01
3R Areia,438.861349924132,0.540506774193548,442.261034837523,2022-03-01
3R Pescada LTDA,76.901043133871,51.7519796774193,402.4111624287,2022-03-01
Petrosynergy,308.414557742797,4.34998903225806,335.775162257784,2022-03-01
Origem,6.6306608908129,46.8848709677419,301.527591152426,2022-03-01
Imetame Lagoa Parda,249.305786240832,3.93448677419355,274.052960498023,2022-03-01
Petroborn,0,30.3977206451613,191.195887291142,2022-03-01
Petrom,149.849886183213,0.948800322580645,155.817659940184,2022-03-01
Nova Petróleo,129.573622496397,1.91809741935484,141.638090825629,2022-03-01
Geopar - Geosol,121.295374281677,0.638496774193548,125.311397676968,2022-03-01
Mandacaru Energia,116.254152435806,0.166346451612903,117.300440010626,2022-03-01
BGM,115.163377643548,0.0915477419354839,115.739195546252,2022-03-01
Recôncavo E&P,78.2984867430484,1.45904032258065,87.4755731544194,2022-03-01
Slim Drilling,80.8635828544516,0.425664516129032,83.5409317846452,2022-03-01
Energizzi Energias,66.3107682986129,1.24116129032258,74.1174369940968,2022-03-01
Phoenix Óleo & Gás,38.0225101412903,3.96918483870968,62.9879286316548,2022-03-01
Petro-Victory,38.6820271543548,0.247883870967742,40.2411696048065,2022-03-01
Ubuntu Engenharia,15.1247611819355,0.02024,15.2520669363355,2022-03-01
Vipetro,12.3779686914,0.0295190322580645,12.5636377956871,2022-03-01
Perícia,11.6625251225806,0.0370838709677419,11.8957756250322,2022-03-01
NTF,10.6485468814516,0.0108596774193548,10.7168521890806,2022-03-01
Newo,10.6485468814516,0.0108596774193548,10.7168521890806,2022-03-01
EPG Brasil,7.83761050274194,0.145193548387097,8.75085033532258,2022-03-01
Oeste de Canoas,7.99414561290323,0.0508387096774194,8.31391143741935,2022-03-01
Sonangol Guanambi,4.84903771580645,0.104017096774194,5.50328549126774,2022-03-01
Guto & Cacal,5.00952931935484,0.0162196774193548,5.11154800858387,2022-03-01
Nord,1.62317677419355,0.00253161290322581,1.63910013834839,2022-03-01
Total Geral,2981129.29757081,134442.283534193,3826745.71696701,2022-03-01
PETROBRAS,2044378.0634665375,93670.43268514515,2633547.2876738906,2022-08-01
SHELL BRASIL,379084.1653331419,16588.100539080646,483420.1659848567,2022-08-01
TOTALENERGIES EP,129343.37995007,4935.097024512903,160384.2025658215,2022-08-01
PETROGAL BRASIL,100786.38894876484,4394.384781806451,128426.23429321889,2022-08-01
REPSOL SINOPEC,65655.01777189126,2981.0232303548387,84405.08749640944,2022-08-01
PETRONAS,60446.70850950239,1044.4950332354838,67016.38381449725,2022-08-01
CNODC BRASIL,32661.968544431325,1598.1909833709678,42714.28617354788,2022-08-01
CNOOC PETROLEUM,32661.968544431325,1598.1909833709678,42714.28617354788,2022-08-01
QATARENERGY,30093.13289809498,699.9146353225806,34495.4629704933,2022-08-01
EQUINOR BRASIL,33074.55683268487,56.12462090322581,33427.57003448819,2022-08-01
EQUINOR ENERGY,27377.42519155242,675.6385320967742,31627.06318712003,2022-08-01
ENEVA,197.69742446956772,4977.092928387098,31502.66629636802,2022-08-01
TRIDENT ENERGY,22661.214843331985,453.262305483871,25512.14862498749,2022-08-01
SINOCHEM PETRÓLEO,22049.704555123248,37.416413935483874,22285.046689658793,2022-08-01
PETRO RIO JAGUAR,18288.939245274953,201.4948745354839,19556.303722076984,2022-08-01
PETRO RIO O&G,14907.518482917681,67.12732774193547,15329.736620222182,2022-08-01
KAROON BRASIL,12284.550446917423,76.99578290322582,12768.839292179962,2022-08-01
POTIGUAR E&P S.A.,8479.556955716205,587.363108516129,12173.95930929204,2022-08-01
ONGC CAMPOS,10591.32135166023,107.9339883967742,11270.205631218145,2022-08-01
ENAUTA ENERGIA,3151.0457719375645,1171.4795248387097,10519.42940206333,2022-08-01
PERENCO BRASIL,9808.761472935024,31.59804419354839,10007.507167284046,2022-08-01
SPE MIRANGA,1745.4058403351612,770.3257625806452,6590.608525072529,2022-08-01
3R MACAU,5007.745914743322,130.5674035483871,5828.9900752560025,2022-08-01
