Poço,Campo,Bacia,Localização,Gás natural (Mm³/d),mes,Operador
1-OGX-121-MA,Gavião Vermelho,Parnaíba,Terra,329.929651666667,2019-11-01,NA
3-PGN-7D-MA,Gavião Vermelho,Parnaíba,Terra,328.852686,2019-11-01,NA
7-GVC-3D-MA,Gavião Caboclo,Parnaíba,Terra,320.706709333333,2019-11-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,303.736528666667,2019-11-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,303.720173333333,2019-11-01,NA
3-PGN-4-MA,Gavião Branco,Parnaíba,Terra,302.818926,2019-11-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,582.863542258065,2019-12-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,517.348659354839,2019-12-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,507.274930322581,2019-12-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,507.178888064516,2019-12-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,498.598583225806,2019-12-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,484.98422,2019-12-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,446.00184516129,2019-12-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,445.695286774194,2019-12-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,410.16637516129,2019-12-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,401.338328387097,2019-12-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,394.067280967742,2019-12-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,384.862109354839,2019-12-01,NA
7-GVB-6-MA,Gavião Branco,Parnaíba,Terra,375.073984516129,2019-12-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,371.019363225806,2019-12-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,369.301941612903,2019-12-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,364.472100645161,2019-12-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,363.339803225806,2019-12-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,360.465978387097,2019-12-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,359.354602258065,2019-12-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,345.78725516129,2019-12-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,344.030776451613,2019-12-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,337.695197741935,2019-12-01,NA
3-PGN-7D-MA,Gavião Vermelho,Parnaíba,Terra,326.525968709677,2019-12-01,NA
7-GVR-24D-MA,Gavião Real,Parnaíba,Terra,323.386565483871,2019-12-01,NA
1-OGX-121-MA,Gavião Vermelho,Parnaíba,Terra,319.368512580645,2019-12-01,NA
7-GVC-3D-MA,Gavião Caboclo,Parnaíba,Terra,315.001038387097,2019-12-01,NA
7-GVR-25D-MA,Gavião Real,Parnaíba,Terra,306.740622258065,2019-12-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,297.483221935484,2019-12-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,295.557493225806,2019-12-01,NA
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,294.87522516129,2019-12-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,601.467083225806,2020-01-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,526.577023548387,2020-01-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,524.388022903226,2020-01-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,511.284693548387,2020-01-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,487.444693870968,2020-01-01,NA
7-GVB-6-MA,Gavião Branco,Parnaíba,Terra,485.961394516129,2020-01-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,438.371728064516,2020-01-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,435.047117741935,2020-01-01,NA
7-GVB-10-MA,Gavião Branco,Parnaíba,Terra,434.022910645161,2020-01-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,431.879546129032,2020-01-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,430.526968709677,2020-01-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,412.155010967742,2020-01-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,408.734866774194,2020-01-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,401.371307741935,2020-01-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,394.359712258065,2020-01-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,385.198196774194,2020-01-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,372.62001516129,2020-01-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,367.803555483871,2020-01-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,350.905954193548,2020-01-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,350.624992580645,2020-01-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,348.860510322581,2020-01-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,348.751317741935,2020-01-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,347.778226451613,2020-01-01,NA
3-PGN-7D-MA,Gavião Vermelho,Parnaíba,Terra,347.727434516129,2020-01-01,NA
1-OGX-121-MA,Gavião Vermelho,Parnaíba,Terra,345.52479516129,2020-01-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,343.632291290323,2020-01-01,NA
7-GVR-24D-MA,Gavião Real,Parnaíba,Terra,339.890900645161,2020-01-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,334.384881290323,2020-01-01,NA
7-GVC-3D-MA,Gavião Caboclo,Parnaíba,Terra,323.941902258065,2020-01-01,NA
7-GVR-25D-MA,Gavião Real,Parnaíba,Terra,321.39084,2020-01-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,586.662867586207,2020-02-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,506.702904482759,2020-02-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,504.263795172414,2020-02-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,482.559120689655,2020-02-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,427.629460344828,2020-02-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,410.940796551724,2020-02-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,409.267563103448,2020-02-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,389.065034482759,2020-02-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,383.241967931034,2020-02-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,382.258781724138,2020-02-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,375.797395862069,2020-02-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,360.127841724138,2020-02-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,350.712752758621,2020-02-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,348.916725862069,2020-02-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,329.894028275862,2020-02-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,325.348933448276,2020-02-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,321.70320862069,2020-02-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,314.024936896552,2020-02-01,NA
7-GVR-24D-MA,Gavião Real,Parnaíba,Terra,295.77229137931,2020-02-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,285.60333137931,2020-02-01,NA
7-GVR-25D-MA,Gavião Real,Parnaíba,Terra,285.498263448276,2020-02-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,283.629746206897,2020-02-01,NA
7-GVC-2D-MA,Gavião Caboclo,Parnaíba,Terra,277.686329655172,2020-02-01,NA
3-LUC-8-AM,Leste Do Urucu,Solimões,Terra,270.815482413793,2020-02-01,NA
7-RUC-107HP-AM,Rio Urucu,Solimões,Terra,266.097732068966,2020-02-01,NA
1-OGX-107-MA,Gavião Caboclo,Parnaíba,Terra,261.000359655172,2020-02-01,NA
3-PGN-5-MA,Gavião Caboclo,Parnaíba,Terra,258.001431034483,2020-02-01,NA
7-GVC-6D-MA,Gavião Caboclo,Parnaíba,Terra,258.001431034483,2020-02-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,257.791317586207,2020-02-01,NA
1-OGX-121-MA,Gavião Vermelho,Parnaíba,Terra,252.263309310345,2020-02-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,558.068577419355,2020-03-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,532.024349354839,2020-03-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,458.405959354839,2020-03-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,441.768426129032,2020-03-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,426.198107741935,2020-03-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,418.934448709677,2020-03-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,412.338657096774,2020-03-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,410.56995516129,2020-03-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,384.634001612903,2020-03-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,380.448877741935,2020-03-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,379.693386129032,2020-03-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,352.594067419355,2020-03-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,337.242121612903,2020-03-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,337.099347096774,2020-03-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,313.404671935484,2020-03-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,303.45631,2020-03-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,298.752759032258,2020-03-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,294.919532903226,2020-03-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,286.003144193548,2020-03-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,269.836103870968,2020-03-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,254.438238709677,2020-03-01,NA
7-LUC-90HP-AM,Leste Do Urucu,Solimões,Terra,254.022410322581,2020-03-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,253.382719677419,2020-03-01,NA
9-RUC-63D-AM,Rio Urucu,Solimões,Terra,249.912340645161,2020-03-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,246.753066451613,2020-03-01,NA
7-RUC-65DP-AM,Rio Urucu,Solimões,Terra,245.076452580645,2020-03-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,229.148293548387,2020-03-01,NA
7-LUC-22DP-AM,Leste Do Urucu,Solimões,Terra,224.84354516129,2020-03-01,NA
7-LUC-31HP-AM,Leste Do Urucu,Solimões,Terra,223.559662258065,2020-03-01,NA
3-LUC-8-AM,Leste Do Urucu,Solimões,Terra,216.57640516129,2020-03-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,596.663195333333,2020-04-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,503.048947666667,2020-04-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,480.192286,2020-04-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,432.402712666667,2020-04-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,420.608548333333,2020-04-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,412.233180333333,2020-04-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,403.737752,2020-04-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,401.367993666667,2020-04-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,392.678000666667,2020-04-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,383.235056333333,2020-04-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,380.914665,2020-04-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,359.476154666667,2020-04-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,351.664525666667,2020-04-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,340.583885,2020-04-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,328.522167333333,2020-04-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,309.378998333333,2020-04-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,282.065432666667,2020-04-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,276.367233666667,2020-04-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,270.759822,2020-04-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,267.032749333333,2020-04-01,NA
7-LUC-73HP-AM,Leste Do Urucu,Solimões,Terra,259.758406333333,2020-04-01,NA
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,253.006369333333,2020-04-01,NA
3-LUC-8-AM,Leste Do Urucu,Solimões,Terra,251.614483666667,2020-04-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,249.103662666667,2020-04-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,245.717643666667,2020-04-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,241.42082,2020-04-01,NA
7-RUC-65DP-AM,Rio Urucu,Solimões,Terra,240.770007333333,2020-04-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,229.296509,2020-04-01,NA
7-LUC-22DP-AM,Leste Do Urucu,Solimões,Terra,226.69769033333299,2020-04-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,224.40718,2020-04-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,560.048180645161,2020-05-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,490.696359032258,2020-05-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,459.16174516129,2020-05-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,453.100622903226,2020-05-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,415.702592903226,2020-05-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,412.322317741935,2020-05-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,400.479644193548,2020-05-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,391.057209354839,2020-05-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,383.863171612903,2020-05-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,375.727790322581,2020-05-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,361.113127741935,2020-05-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,350.053317096774,2020-05-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,349.239209354839,2020-05-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,338.951517096774,2020-05-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,322.968802903226,2020-05-01,NA
4-SMT-3-AM,Araracanga,Solimões,Terra,322.72713322580603,2020-05-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,307.216387419355,2020-05-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,274.359516774194,2020-05-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,268.469012580645,2020-05-01,NA
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,261.003252258065,2020-05-01,NA
7-RUC-92DP-AM,Rio Urucu,Solimões,Terra,256.948281290323,2020-05-01,NA
7-LUC-73HP-AM,Leste Do Urucu,Solimões,Terra,255.88515516129,2020-05-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,249.678662258065,2020-05-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,249.270514193548,2020-05-01,NA
7-RUC-65DP-AM,Rio Urucu,Solimões,Terra,237.782767419355,2020-05-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,231.488946774194,2020-05-01,NA
3-LUC-8-AM,Leste Do Urucu,Solimões,Terra,230.432144516129,2020-05-01,NA
7-LUC-22DP-AM,Leste Do Urucu,Solimões,Terra,225.20306483871,2020-05-01,NA
7-LUC-31HP-AM,Leste Do Urucu,Solimões,Terra,222.713983870968,2020-05-01,NA
7-LUC-32HA-AM,Leste Do Urucu,Solimões,Terra,204.641996451613,2020-05-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,457.215688,2020-06-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,453.260905666667,2020-06-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,432.978849333333,2020-06-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,432.694417333333,2020-06-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,424.832988666667,2020-06-01,NA
7-RUC-39HP-AM,Rio Urucu,Solimões,Terra,413.707465333333,2020-06-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,412.535816333333,2020-06-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,406.606292333333,2020-06-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,405.089509666667,2020-06-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,384.636414666667,2020-06-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,383.183992333333,2020-06-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,382.266830666667,2020-06-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,354.682698333333,2020-06-01,NA
7-GVR-24D-MA,Gavião Real,Parnaíba,Terra,353.281557,2020-06-01,NA
7-GVR-25D-MA,Gavião Real,Parnaíba,Terra,347.867334333333,2020-06-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,338.889473333333,2020-06-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,336.536349,2020-06-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,320.442575666667,2020-06-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,316.515349,2020-06-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,299.566863666667,2020-06-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,274.907571,2020-06-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,268.157402333333,2020-06-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,259.105433,2020-06-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,255.466791,2020-06-01,NA
7-RUC-24D-AM,Rio Urucu,Solimões,Terra,244.106328333333,2020-06-01,NA
7-LUC-73HP-AM,Leste Do Urucu,Solimões,Terra,239.528302666667,2020-06-01,NA
7-LUC-22DP-AM,Leste Do Urucu,Solimões,Terra,235.383822333333,2020-06-01,NA
7-RUC-65DP-AM,Rio Urucu,Solimões,Terra,235.117260333333,2020-06-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,232.827631666667,2020-06-01,NA
3-LUC-8-AM,Leste Do Urucu,Solimões,Terra,229.708993,2020-06-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,623.187082580645,2020-07-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,483.582801935484,2020-07-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,474.716300967742,2020-07-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,447.64852,2020-07-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,410.001067419355,2020-07-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,407.117473225806,2020-07-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,392.108150645161,2020-07-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,380.967491935484,2020-07-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,380.440543548387,2020-07-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,379.920484516129,2020-07-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,376.556098709677,2020-07-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,366.448599354839,2020-07-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,363.985327096774,2020-07-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,338.402194193548,2020-07-01,NA
7-GVR-24D-MA,Gavião Real,Parnaíba,Terra,331.177470322581,2020-07-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,329.092282258065,2020-07-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,325.838135806452,2020-07-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,309.424980645161,2020-07-01,NA
7-GVR-25D-MA,Gavião Real,Parnaíba,Terra,298.644026129032,2020-07-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,294.723118064516,2020-07-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,289.33403483871,2020-07-01,NA
3-RUC-8-AM,Rio Urucu,Solimões,Terra,275.748993225806,2020-07-01,NA
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,274.663519354839,2020-07-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,262.546500322581,2020-07-01,NA
7-LUC-73HP-AM,Leste Do Urucu,Solimões,Terra,261.931213548387,2020-07-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,260.084371612903,2020-07-01,NA
7-LUC-22DP-AM,Leste Do Urucu,Solimões,Terra,237.621414193548,2020-07-01,NA
7-RUC-24D-AM,Rio Urucu,Solimões,Terra,235.795169032258,2020-07-01,NA
1-SMT-2-AM,Araracanga,Solimões,Terra,233.516166129032,2020-07-01,NA
7-RUC-18D-AM,Rio Urucu,Solimões,Terra,231.538203225806,2020-07-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,559.334204516129,2020-08-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,527.214378387097,2020-08-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,516.800759032258,2020-08-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,458.519771612903,2020-08-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,443.040742258065,2020-08-01,NA
9-RUC-104DP-AM,Rio Urucu,Solimões,Terra,436.711160645161,2020-08-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,435.683126451613,2020-08-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,432.941718064516,2020-08-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,396.518020322581,2020-08-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,389.533562258065,2020-08-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,382.694219032258,2020-08-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,379.143810645161,2020-08-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,376.853372258065,2020-08-01,NA
7-RUC-96HP-AM,Rio Urucu,Solimões,Terra,366.871976129032,2020-08-01,NA
7-GVR-24D-MA,Gavião Real,Parnaíba,Terra,360.467495483871,2020-08-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,357.21550483871,2020-08-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,329.741833870968,2020-08-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,326.806267419355,2020-08-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,323.824794516129,2020-08-01,NA
7-GVR-25D-MA,Gavião Real,Solimões,Terra,305.598161290323,2020-08-01,NA
7-RUC-79HP-AM,Rio Urucu,Solimões,Terra,292.547027096774,2020-08-01,NA
7-LUC-17-AM,Leste Do Urucu,Solimões,Terra,289.761157096774,2020-08-01,NA
9-LUC-91D-AM,Leste Do Urucu,Solimões,Terra,280.188286774194,2020-08-01,NA
3-RUC-8-AM,Rio Urucu,Parnaíba,Terra,273.587129677419,2020-08-01,NA
9-RUC-97DP-AM,Rio Urucu,Solimões,Terra,262.779818709677,2020-08-01,NA
7-LUC-73HP-AM,Leste Do Urucu,Solimões,Terra,261.691487741935,2020-08-01,NA
7-LUC-59HP-AM,Leste Do Urucu,Solimões,Terra,253.654141290323,2020-08-01,NA
7-RUC-92DP-AM,Rio Urucu,Solimões,Terra,247.53649483871,2020-08-01,NA
7-GVA-2DP-MA,Gavião Azul,Parnaíba,Terra,244.701380967742,2020-08-01,NA
3-LUC-8-AM,Leste Do Urucu,Solimões,Terra,240.217901612903,2020-08-01,NA
9-RUC-75D-AM,Rio Urucu,Solimões,Terra,491.046176666667,2020-09-01,NA
7-LUC-65HP-AM,Leste Do Urucu,Solimões,Terra,422.849422,2020-09-01,NA
7-RUC-56HP-AM,Rio Urucu,Solimões,Terra,420.492109,2020-09-01,NA
7-LUC-71HP-AM,Leste Do Urucu,Solimões,Terra,404.089564,2020-09-01,NA
7-GVR-18-MA,Gavião Real,Parnaíba,Terra,399.653760666667,2020-09-01,NA
3-RUC-16D-AM,Rio Urucu,Solimões,Terra,389.814494666667,2020-09-01,NA
7-LUC-42HP-AM,Leste Do Urucu,Solimões,Terra,362.846053,2020-09-01,NA
7-LUC-80DP-AM,Leste Do Urucu,Solimões,Terra,358.248484666667,2020-09-01,NA
7-LUC-57HP-AM,Leste Do Urucu,Solimões,Terra,354.555359666667,2020-09-01,NA
7-RUC-67HPA-AM,Rio Urucu,Solimões,Terra,354.277482666667,2020-09-01,NA
7-LUC-84HP-AM,Leste Do Urucu,Solimões,Terra,341.296553333333,2020-09-01,NA
7-LUC-41HP-AM,Leste Do Urucu,Solimões,Terra,340.351699666667,2020-09-01,NA
7-LUC-63HP-AM,Leste Do Urucu,Solimões,Terra,337.540668666667,2020-09-01,NA
7-LUC-38HP-AM,Leste Do Urucu,Solimões,Terra,329.469139,2020-09-01,NA
7-RUC-103DP-AM,Rio Urucu,Solimões,Terra,327.742567666667,2020-09-01,NA
1-BRSA-769-AM,Arara Azul,Solimões,Terra,318.792726333333,2020-09-01,NA
7-GVR-24D-MA,Gavião Real,Solimões,Terra,315.262273666667,2020-09-01,NA
3-RUC-8-AM,Rio Urucu,Parnaíba,Terra,275.292528333333,2020-09-01,NA
