Período,Consumo Interno,Queima,Disponível,Injeção,Aproveitamento,Injeção descontando CO2,Produção descontando CO2
2020-03-01,14380.2607874194,3398.06569806452,47959,56012,NA,NA,NA
2020-03-01,14380.2607874194,3398.06569806452,47931.5138329032,56039.4987848387,NA,NA,NA
2020-04-01,14339.3594793333,2723.61300633333,50600.745385,56342.5375276667,NA,NA,NA
2020-05-01,13732.7906909677,2781.88638774194,48677.4397454839,49175.0154203226,NA,NA,NA
2020-06-01,14313.705327,3132.27806866667,56333.5772866667,54692.990321,NA,NA,NA
2020-06-01,14313.705327,3132.15556133333,56333.699794,54692.990321,NA,NA,NA
2020-07-01,14152.5161970968,4000.69753677419,54925.6339103226,57253.4068822581,NA,NA,NA
2020-08-01,14287.8966445161,3994.67364709677,55647.2020303226,59586.1205987097,NA,NA,NA
2020-08-01,14287.8966445161,3994.94615258065,55647.2020303226,59586.1205987097,NA,NA,NA
2020-09-01,13771.1313226667,3476.457861,52985.329191,55023.0208736667,NA,NA,NA
2020-10-01,14174.27813,3025.99095193548,54733.0760364516,58117.4644916129,NA,NA,NA
2020-11-01,13440.4387893333,3137.50133133333,54726.8121173333,55093.0901573333,NA,NA,NA
2020-12-01,13422.2090387097,3049.2001683871,57709.4478958065,52781.2852222581,NA,NA,NA
2020-10-01,14174.27813,3024.74502612903,54733.0760364516,58117.4644916129,NA,NA,NA
2021-01-01,14020.8946674194,2901.02677645161,61192.2947796774,57814.8649583871,NA,NA,NA
2021-02-01,13449.4346485714,3474.71353892857,55066.1804632143,59096.4550625,NA,NA,NA
2021-03-01,13425.7124680645,3173.13889387097,50177.1670987097,59310.2861358065,NA,NA,NA
2020-04-01,14339.3594793333,2723.61300633333,50600.745385,56342.5375276667,0.9780364869692727,NA,NA
2020-05-01,13732.7906909677,2781.88638774194,48677.4397454839,49175.0154203226,0.9756758228247415,NA,NA
2020-06-01,14313.705327,3132.15556133333,56333.699794,54692.990321,0.9756200407256509,NA,NA
2020-07-01,14152.5161970968,4000.69753677419,54925.6339103226,57253.4068822581,0.9693038568901413,NA,NA
2020-08-01,14287.8966445161,3994.94615258065,55647.2020303226,59586.1205987097,0.9700789328406013,NA,NA
2020-09-01,13771.1313226667,3476.457861,52985.329191,55023.0208736667,0.9722451655237907,NA,NA
2020-10-01,14174.27813,3025.99095193548,54733.0760364516,58117.4644916129,0.9767322405680525,NA,NA
2020-11-01,13440.4387893333,3137.50133133333,54726.8121173333,55093.0901573333,0.9751775720860806,NA,NA
2020-12-01,13422.2090387097,3049.2001683871,57709.4478958065,52781.2852222581,0.9759833906978551,NA,NA
2021-01-01,14020.8946674194,2901.02677645161,61192.2947796774,57814.8649583871,0.9786577916129059,NA,NA
2021-02-01,13449.4346485714,3474.71353892857,55066.1804632143,59096.4550625,0.9734930292703639,NA,NA
2021-03-01,13425.7124680645,3173.1420583871,50177.1670987097,59310.2861358065,0.9748335714263052,NA,NA
2021-04-01,14028.246744,2887.68829066667,53494.91408,61020.9522723333,0.9780289986122619,NA,NA
2021-04-01,14028.246744,2888.51564533333,53494.3779263333,61020.9522723333,0.9780227523700166,NA,NA
2021-05-01,13734.234896129,2947.80969322581,57898.3718403226,59973.6897080645,0.9780920123670679,NA,NA
2021-06-01,13370.2221076667,3128.23898533333,58908.83781,60342.7309086667,0.9769558873049711,NA,NA
2021-07-01,14040.0394454839,3515.85513258065,56086.6209896774,65535.505996129,0.9747384314486234,NA,NA
