...1,Período,produto
GASN,2022-04-01,15.2936250186667
GASN,2022-05-01,14.8771339177419
GASN,2022-06-01,20.8018800586667
Gás Total,2022-03-01,134.442360100323
Gás Total,2022-04-01,136.901341954333
Gás Total,2022-05-01,131.713079675806
Gás Total,2022-06-01,132.902846774667
GASA,2022-03-01,119.939014341935
Gás Total,2022-03-01,134.442283532581
GASA,2021-08-01,114.41407647451618
GASA,2021-09-01,116.46337072200005
GASA,2021-10-01,110.69451048516125
GASA,2021-11-01,114.24450324233328
GASA,2021-12-01,115.19851452258068
GASA,2022-01-01,122.99121943129029
GASA,2022-02-01,119.09118151928581
GASA,2022-03-01,119.93959090967745
GASA,2022-04-01,121.60771693566667
GASA,2022-05-01,116.83594575806457
GASA,2022-06-01,112.10108852599997
GASA,2022-07-01,117.82855880870976
GASA,2022-08-01,121.12936283516134
GASN,2021-08-01,22.181649510000003
GASN,2021-09-01,16.919852522333336
GASN,2021-10-01,21.009644595161294
GASN,2021-11-01,22.340453848333333
GASN,2021-12-01,17.040037391290323
GASN,2022-01-01,14.440096266129027
GASN,2022-02-01,14.12904399964286
GASN,2022-03-01,14.502769190645163
GASN,2022-04-01,15.293625018666663
GASN,2022-05-01,14.87713391774194
GASN,2022-06-01,20.80188005866667
GASN,2022-07-01,17.80114871451613
GASN,2022-08-01,18.83346219451612
Total,2021-08-01,136.59572598451618
Total,2021-09-01,133.38322324433338
Total,2021-10-01,131.70415508032252
Total,2021-11-01,136.5849570906666
Total,2021-12-01,132.238551913871
Total,2022-01-01,137.4313156974193
Total,2022-02-01,133.22022551892866
Total,2022-03-01,134.44236010032262
Total,2022-04-01,136.90134195433333
Total,2022-05-01,131.7130796758065
Total,2022-06-01,132.9029685846666
Total,2022-07-01,135.6297075232259
Total,2022-08-01,139.96282502967748
GASA,2022-09-01,124.36473873833337
GASA,2022-10-01,131.05870408322582
GASA,2022-11-01,122.94826579499993
GASA,2022-12-01,122.14118910161284
GASN,2022-09-01,18.705572988666663
GASN,2022-10-01,17.69211677709678
GASN,2022-11-01,17.431753411000003
GASN,2022-12-01,18.0021147767742
Total,2022-09-01,143.07031172700002
Total,2022-10-01,148.7508208603226
Total,2022-11-01,140.38001920599993
Total,2022-12-01,140.14330387838706
GASA,2021-07-01,117.62159202451613
GASN,2021-07-01,21.556429528064516
Gás Total,2021-07-01,139.17802155258065
Gás Total,2021-08-01,136.59572598451618
Gás Total,2021-09-01,133.38322324433338
Gás Total,2021-10-01,131.70415508032252
Gás Total,2021-11-01,136.5849570906666
Gás Total,2022-01-01,137.4313156974193
Gás Total,2022-02-01,133.22022551892866
Gás Total,2022-03-01,134.44236010032262
Gás Total,2022-04-01,136.90134195433333
Gás Total,2022-05-01,131.7130796758065
Gás Total,2022-06-01,132.9029685846666
Gás Total,2022-07-01,135.6297075232259
GASA,2023-01-01,127.47507245161285
GASA,2023-02-01,132.74995878571428
GASA,2023-03-01,124.52973654838712
GASA,2023-04-01,125.75213943333333
GASN,2023-01-01,15.768252451612902
GASN,2023-02-01,13.789541821428566
GASN,2023-03-01,14.001043741935485
GASN,2023-04-01,15.849091899999998
Total,2023-01-01,143.24332490322573
Total,2023-02-01,146.53950060714286
Total,2023-03-01,138.5307802903226
Total,2023-04-01,141.60123133333332
GASA,2023-02-01,132.74996485714286
GASA,2023-05-01,129.75064183870973
GASA,2023-06-01,132.308785
GASA,2023-07-01,137.02685870967736
GASA,2023-08-01,131.71277596774195
GASA,2023-09-01,143.9237407333335
GASA,2023-10-01,136.79446087096775
GASA,2023-11-01,144.50909949999996
GASA,2023-12-01,140.91683193548388
GASN,2023-05-01,14.659086580645159
GASN,2023-06-01,19.94910656666667
GASN,2023-07-01,17.0489930967742
GASN,2023-08-01,16.147167322580646
GASN,2023-09-01,14.065104366666663
GASN,2023-10-01,15.710882
GASN,2023-11-01,17.6140044
GASN,2023-12-01,15.701294064516134
