...1,mes,volume
Petróleo,2020-05-01,2765.4349239119902
Óleo,2020-06-01,3003.26331948809
Condensado,2020-06-01,9.8825666536643197
Petróleo,2020-06-01,3013.14588614176
Óleo,2020-07-01,3068.4494955128398
Condensado,2020-07-01,9.8554266162160999
Petróleo,2020-07-01,3078.3049221290598
Óleo,2020-08-01,3077.40896404452
Condensado,2020-08-01,9.5222206100406304
Petróleo,2020-08-01,3086.9311846545602
Óleo,2020-08-01,3077.4754248146401
Petróleo,2020-08-01,3086.9976454246798
Óleo,2020-09-01,2898.1626507156798
Condensado,2020-09-01,8.9590478776406197
Petróleo,2020-09-01,2907.1216985933202
Óleo,2020-10-01,2864.5308628180501
Condensado,2020-10-01,9.0554339138513207
Petróleo,2020-10-01,2873.5862967319099
Óleo,2020-11-01,2745.9623724922999
Condensado,2020-11-01,8.5847088773428908
Petróleo,2020-11-01,2754.5470813696402
Óleo,2020-11-01,2745.9976827098999
Petróleo,2020-11-01,2754.5823915872402
Óleo,2020-12-01,2717.65435256314
Condensado,2020-12-01,8.7012284030847802
Petróleo,2020-12-01,2726.3555809662198
Óleo,2020-10-01,2864.4862645753201
Petróleo,2020-10-01,2873.5416984891699
Óleo,2021-01-01,2864.2412110516502
Condensado,2021-01-01,8.7731781463371004
Petróleo,2021-01-01,2873.0143891979901
Óleo,2021-02-01,2810.0980629442502
Condensado,2021-02-01,8.8247311850265397
Petróleo,2021-02-01,2818.9227941292802
Óleo,2021-03-01,2836.1912357986898
Condensado,2021-03-01,8.1271917015306006
Petróleo,2021-03-01,2844.31842750022
Óleo,2021-03-01,2836.1932647696599
Petróleo,2021-03-01,2844.32045647119
Óleo,2021-04-01,2966.0830439932001
Condensado,2021-04-01,8.0402197609700696
Petróleo,2021-04-01,2974.1232637541698
Óleo,2021-04-01,2966.0830439869101
Petróleo,2021-04-01,2974.1232637478802
Óleo,2021-05-01,2923.5376858473901
Condensado,2021-05-01,8.2128553691183193
Petróleo,2021-05-01,2931.7505412165101
Óleo,2021-06-01,2895.05356318129
Condensado,2021-06-01,8.3834460085390603
Petróleo,2021-06-01,2903.43700918983
Óleo,2021-07-01,3036.2390653555199
Condensado,2021-07-01,8.5669754135407796
Petróleo,2021-07-01,3044.80604076906
Óleo,2021-07-01,3036.6925834621502
Petróleo,2021-07-01,3045.2595588756899
Óleo,2021-08-01,2989.2492851390398
Condensado,2021-08-01,7.8817951539430204
Petróleo,2021-08-01,2997.1310802929802
Óleo,2021-08-01,2989.4593729089202
Petróleo,2021-08-01,2997.3411680628601
Óleo,2021-09-01,2996.4012998980302
Condensado,2021-09-01,4.3999648858592098
Petróleo,2021-09-01,3000.80126478389
Condensado,2021-09-01,4.4001734978908704
Petróleo,2021-09-01,3000.8014733959199
Óleo,2021-10-01,2769.9278442075401
Condensado,2021-10-01,7.5178729316465303
Petróleo,2021-10-01,2777.44571713918
Óleo,2021-10-01,2770.0979624667398
Petróleo,2021-10-01,2777.6158353983901
Óleo,2021-11-01,2843.3228968180101
Condensado,2021-11-01,8.3577276358791099
Petróleo,2021-11-01,2851.6806244538898
Óleo,2021-12-01,2830.4701628686598
Condensado,2021-12-01,7.9020323761704798
Petróleo,2021-12-01,2838.37219524483
Óleo,2021-02-01,2810.0875364979502
Petróleo,2021-02-01,2818.9122676829702
Óleo,2022-01-01,3024.6417188252899
Condensado,2022-01-01,7.8388126457216396
Petróleo,2022-01-01,3032.4805314710202
Óleo,2022-02-01,2908.8208640307298
Condensado,2022-02-01,7.7341019851309696
Petróleo,2022-02-01,2916.5549660158599
Óleo,2022-03-01,2973.1119441456599
Condensado,2022-03-01,8.0715612294511399
Petróleo,2022-03-01,2981.1835053751101
Óleo,2022-04-01,2990.5061137829698
Condensado,2022-04-01,8.4667999649002805
Petróleo,2022-04-01,2998.9729137478698
Condensado,2022-04-01,8.6010790324699595
Petróleo,2022-04-01,2999.1071928154402
Óleo,2022-05-01,2870.9726504191299
Condensado,2022-05-01,7.8200921097271401
Petróleo,2022-05-01,2878.7927425288599
Óleo,2022-06-01,2820.9209160180999
Condensado,2022-06-01,7.4755976357969196
Petróleo,2022-06-01,2828.3965136539
Óleo,2022-03-01,2973.05773633121
Petróleo,2022-03-01,2981.1292975606598
Óleo,2021-08-01,2989.4593729089215
Condensado,2021-08-01,7.8817951539430249
Petróleo,2021-08-01,2997.3411680628647
Óleo,2021-09-01,2996.401299898027
Condensado,2021-09-01,4.400173497890874
Petróleo,2021-09-01,3000.801473395918
Óleo,2021-10-01,2770.0979624667416
Condensado,2021-10-01,7.5178729316465347
Petróleo,2021-10-01,2777.6158353983883
Óleo,2021-11-01,2843.3228968180133
Condensado,2021-11-01,8.3577276358791135
Petróleo,2021-11-01,2851.6806244538925
Óleo,2021-12-01,2830.4701628686612
Condensado,2021-12-01,7.9020323761704825
Petróleo,2021-12-01,2838.3721952448318
Óleo,2022-01-01,3024.6417188252917
Condensado,2022-01-01,7.8388126457216432
Petróleo,2022-01-01,3032.4805314710129
Óleo,2022-02-01,2908.8208640307321
Petróleo,2022-02-01,2916.5549660158631
Óleo,2022-03-01,2973.1119441456613
Condensado,2022-03-01,8.0715612294511416
Petróleo,2022-03-01,2981.1835053751124
Óleo,2022-04-01,2990.5061137829748
Condensado,2022-04-01,8.6010790324699649
Petróleo,2022-04-01,2999.1071928154447
Óleo,2022-05-01,2870.9726504191353
Condensado,2022-05-01,7.8200921097271383
Petróleo,2022-05-01,2878.7927425288622
Óleo,2022-06-01,2821.0741492079665
Condensado,2022-06-01,7.4755976357969152
Petróleo,2022-06-01,2828.5497468437638
Óleo,2022-07-01,2955.3131658331349
Condensado,2022-07-01,7.2129506082988426
Petróleo,2022-07-01,2962.5261164414337
Óleo,2022-08-01,3079.3901114340929
Condensado,2022-08-01,7.2325283419188304
Petróleo,2022-08-01,3086.6226397760115
Total,2021-12-01,2838.3721952448318
Total,2022-01-01,3032.4805314710129
Total,2022-02-01,2916.5549660158631
Total,2022-03-01,2981.1835053751124
Total,2022-04-01,2999.1071928154447
Total,2022-05-01,2878.7927425288622
Total,2022-06-01,2828.5497468437638
Total,2022-07-01,2962.5261164414337
Total,2022-08-01,3086.6226397760115
Óleo,2022-09-01,3140.5469419775382
Condensado,2022-09-01,7.3005459336869203
Total,2022-09-01,3147.847487911225
Óleo,2022-10-01,3237.1525550044353
Condensado,2022-10-01,7.3652675770929283
Total,2022-10-01,3244.5178225815284
Óleo,2022-11-01,3088.1568530786044
Condensado,2022-11-01,7.3240981188455017
Total,2022-11-01,3095.4809511974499
Óleo,2022-12-01,3066.5189077322652
Condensado,2022-12-01,7.2464368303672408
Total,2022-12-01,3073.7653445626324
Óleo,2021-07-01,3036.6925834621552
Condensado,2021-07-01,8.5669754135407814
Petróleo,2021-07-01,3045.2595588756963
Total,2021-11-01,2851.6806244538925
Total,2021-10-01,2777.6158353983883
Total,2021-09-01,3000.801473395918
Óleo,2023-01-01,3267.3423430549074
Condensado,2023-01-01,7.0405318957267751
Total,2023-01-01,3274.3828749506342
Óleo,2023-02-01,3254.7826905205175
Condensado,2023-02-01,6.7741121164717857
Total,2023-02-01,3261.5568026369892
Óleo,2023-03-01,3108.5824008946265
Condensado,2023-03-01,6.7761683408674198
Total,2023-03-01,3115.3585692354941
Óleo,2023-04-01,3134.4833974574949
Condensado,2023-04-01,6.703180296746333
Total,2023-04-01,3141.1865777542416
Petróleo,2022-12-01,3073.7653445626324
Petróleo,2023-01-01,3274.3828749506342
Óleo,2023-02-01,3254.7853632404958
Petróleo,2023-02-01,3261.5594753569671
Óleo,2023-03-01,3108.5824008946261
Petróleo,2023-03-01,3115.3585692354936
Petróleo,2023-04-01,3141.1865777542416
Óleo,2023-05-01,3194.3224081092098
Condensado,2023-05-01,6.9695306943729021
Petróleo,2023-05-01,3201.291938803583
Óleo,2023-06-01,3359.4192652517486
Condensado,2023-06-01,7.1517259365969981
Petróleo,2023-06-01,3366.5709911883459
Óleo,2023-07-01,3505.7501636508846
Condensado,2023-07-01,6.9714937237841959
Petróleo,2023-07-01,3512.7216573746687
Óleo,2023-08-01,3455.0199514709025
Condensado,2023-08-01,7.0271311511761274
Petróleo,2023-08-01,3462.0470826220781
Óleo,2023-09-01,3665.0174801115854
Condensado,2023-09-01,7.2251814826819993
Petróleo,2023-09-01,3672.2426615942672
Óleo,2023-10-01,3535.920673218644
Condensado,2023-10-01,7.3146580472945146
Petróleo,2023-10-01,3543.2353312659384
Óleo,2023-11-01,3671.1285353886656
Condensado,2023-11-01,7.1711801092666665
Petróleo,2023-11-01,3678.299715497933
Óleo,2023-12-01,3578.0487626931786
Condensado,2023-12-01,6.7207033760077399
Petróleo,2023-12-01,3584.7694660691859
Condensado,2022-07-01,7.2129506082988444
Óleo,2022-08-01,3079.3901114340933
Total,2022-08-01,3086.622639776012
Condensado,2022-09-01,7.3005459336869176
Condensado,2022-11-01,7.3240981188455025
Total,2023-03-01,3115.3585692354936
Total,2023-05-01,3201.291938803583
Total,2023-06-01,3366.5709911883459
Total,2023-07-01,3512.7216573746687
Óleo,2023-06-01,3359.4183398110372
Total,2023-06-01,3366.5700657476345
Óleo,2022-11-01,3088.1568530786044
Condensado,2022-11-01,7.3240981188455025
Petróleo,2022-11-01,3095.4809511974499
Óleo,2022-12-01,3066.5189077322652
Condensado,2022-12-01,7.2464368303672408
Petróleo,2022-12-01,3073.7653445626324
Óleo,2023-01-01,3267.3423430549074
Condensado,2023-01-01,7.0405318957267751
Petróleo,2023-01-01,3274.3828749506342
Óleo,2023-02-01,3254.7853632404958
Condensado,2023-02-01,6.7741121164717857
Petróleo,2023-02-01,3261.5594753569671
Óleo,2023-03-01,3108.5824008946261
Condensado,2023-03-01,6.7761683408674198
Petróleo,2023-03-01,3115.3585692354936
Óleo,2023-04-01,3134.4833974574949
Condensado,2023-04-01,6.703180296746333
Petróleo,2023-04-01,3141.1865777542416
Óleo,2023-05-01,3194.3224081092098
Condensado,2023-05-01,6.9695306943729021
Petróleo,2023-05-01,3201.291938803583
Óleo,2023-06-01,3359.4192652517486
Condensado,2023-06-01,7.1517259365969981
Petróleo,2023-06-01,3366.5709911883459
Óleo,2023-07-01,3505.7501636508846
Condensado,2023-07-01,6.9714937237841959
Petróleo,2023-07-01,3512.7216573746687
Óleo,2023-08-01,3455.0199514709025
Condensado,2023-08-01,7.0271311511761274
Petróleo,2023-08-01,3462.0470826220781
Óleo,2023-09-01,3665.0174801115854
Condensado,2023-09-01,7.2251814826819993
Petróleo,2023-09-01,3672.2426615942672
Óleo,2023-10-01,3535.920673218644
Condensado,2023-10-01,7.3146580472945146
Petróleo,2023-10-01,3543.2353312659384
Óleo,2023-11-01,3671.1285353886656
Condensado,2023-11-01,7.1711801092666665
Petróleo,2023-11-01,3678.299715497933
Óleo,2022-10-01,3237.15
Condensado,2022-10-01,7.37
Petróleo,2022-10-01,3244.52
Óleo,2022-11-01,3088.16
Condensado,2022-11-01,7.32
Petróleo,2022-11-01,3095.48
Óleo,2022-12-01,3066.52
Condensado,2022-12-01,7.25
Petróleo,2022-12-01,3073.77
Óleo,2023-01-01,3267.34
Condensado,2023-01-01,7.04
Petróleo,2023-01-01,3274.38
Óleo,2023-02-01,3254.79
Condensado,2023-02-01,6.77
Petróleo,2023-02-01,3261.56
Óleo,2023-03-01,3108.58
Condensado,2023-03-01,6.78
Petróleo,2023-03-01,3115.36
Óleo,2023-04-01,3134.48
Condensado,2023-04-01,6.7
Petróleo,2023-04-01,3141.19
Óleo,2023-05-01,3194.32
Condensado,2023-05-01,6.97
Petróleo,2023-05-01,3201.29
Óleo,2023-06-01,3359.42
Condensado,2023-06-01,7.15
Petróleo,2023-06-01,3366.57
Óleo,2023-07-01,3505.75
Condensado,2023-07-01,6.97
Petróleo,2023-07-01,3512.72
Óleo,2023-08-01,3455.02
Condensado,2023-08-01,7.03
Petróleo,2023-08-01,3462.05
Óleo,2023-09-01,3665.02
Condensado,2023-09-01,7.23
Petróleo,2023-09-01,3672.24
Óleo,2023-10-01,3535.92
Condensado,2023-10-01,7.31
Petróleo,2023-10-01,3543.24
Petróleo,2022-09-01,3147.847487911225
Petróleo,2022-10-01,3244.5178225815284
Petróleo,2022-11-01,3095.4809511974499
Condensado,2023-09-01,7.2251814826820011
Petróleo,2022-08-01,3086.622639776012
Óleo,2023-01-01,3266.2395141461302
Petróleo,2023-01-01,3273.2800460418571
Óleo,2023-04-01,3134.4745040854755
Petróleo,2023-04-01,3141.1776843822222
Óleo,2023-05-01,3194.3189462789451
